Order,read10000000_rep1,read10000000_rep2,read10000000_rep3,read10000000_rep4,read10000000_rep5,gut_combined_10000000_1,gut_combined_10000000_2,gut_combined_10000000_3,gut_combined_10000000_4,gut_combined_10000000_5,meta_mean,pam_mean,meta_std,pam_std
Florideophycidae,0.0,0.0,0.0,0.0,0.0,4.0398315269058336e-07,0.0,7.069205400105411e-07,0.0,6.060469546999093e-07,0.0,3.4339012948020675e-07,0.0,3.319066298394348e-07
Francisellales,0.0,0.0,0.0,0.0,0.0,3.029873645179375e-07,0.0,3.0296594571880336e-07,0.0,2.0201565156663643e-07,0.0,1.6159379236067547e-07,0.0,1.5316434160174295e-07
Fusobacteriales,0.0,0.0,0.0,0.0,0.0,2.0199157634529168e-07,2.0203967129761797e-07,0.0,3.0304897574497013e-07,0.0,0.0,1.4141604467757596e-07,0.0,1.3552381610931896e-07
Gaiellales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0203265049664675e-07,0.0,0.0,4.040653009932935e-08,0.0,9.035174803699175e-08
Gammaproteobacteria Unknown Family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0201565156663643e-07,0.0,4.0403130313327284e-08,0.0,9.034414588438218e-08
Gemmatimonadales,0.0,0.0,0.0,0.0,0.0,1.817924187107625e-06,3.9397735903035504e-06,4.140534591490313e-06,3.939636684684612e-06,3.6362817281994555e-06,0.0,3.494830156357111e-06,0.0,9.545658570112815e-07
Glomerales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0395459429173784e-07,3.0304897574497013e-07,0.0,0.0,1.4140071400734158e-07,0.0,1.9688015792643248e-07
Glomerellales,0.0,0.0,0.0,0.0,0.0,0.0005680003126829602,0.000579651816952866,0.0005608909541740779,0.0005615497520554297,0.0005618055270068159,0.0,0.0005663796725744301,0.0,7.955395344283234e-06
Gossypium raimondii   ,0.0,0.0,0.0,0.0,0.0,2.4137993373262354e-05,2.091110597930346e-05,2.0096741066013956e-05,2.242562420512779e-05,2.0706604285580235e-05,0.0,2.165561378185756e-05,0.0,1.6309598036170236e-06
Halobacteriales,0.0,0.0,0.0,0.0,0.0,8.887629359192834e-06,9.596884386636853e-06,9.593921614428773e-06,9.697567223839044e-06,8.585665191582048e-06,0.0,9.27233355513591e-06,0.0,5.022665017170608e-07
Hemiptera,0.0,0.0,0.0,0.0,0.0,1.6058330319450687e-05,1.6769292717702292e-05,1.7572024851690595e-05,1.7071758966966653e-05,1.626225995111423e-05,0.0,1.6746733361384893e-05,0.0,6.115287904538518e-07
Hexapoda,0.0,0.0,0.0,0.0,0.0,7.877671477466375e-05,7.626997591485079e-05,7.53375318354091e-05,7.788358676645732e-05,7.636191629218856e-05,0.0,7.692594511671391e-05,0.0,1.379665422940011e-06
Humulus lupulus var. cordifolius ,0.0,0.0,0.0,0.0,0.0,0.0,2.0203967129761797e-07,0.0,0.0,0.0,0.0,4.0407934259523595e-08,0.0,9.035488783463738e-08
Hydrozoa,0.0,0.0,0.0,0.0,0.0,4.0398315269058336e-07,7.071388495416629e-07,8.079091885834757e-07,6.060979514899403e-07,4.0403130313327287e-07,0.0,5.85832089087787e-07,0.0,1.8066878180361456e-07
Ignavibacteriales,0.0,0.0,0.0,0.0,0.0,2.0199157634529168e-07,2.0203967129761797e-07,2.0197729714586892e-07,0.0,0.0,0.0,1.2120170895775572e-07,0.0,1.1064151908692927e-07
JGI 0000069-P22,0.0,0.0,0.0,0.0,0.0,2.0199157634529168e-07,0.0,0.0,2.0203265049664675e-07,2.0201565156663643e-07,0.0,1.2120797568171496e-07,0.0,1.1064723834641404e-07
Jakobida,0.0,0.0,0.0,0.0,0.0,6.05974729035875e-07,0.0,5.049432428646723e-07,6.060979514899403e-07,7.070547804832275e-07,0.0,4.84814140774743e-07,0.0,2.8028132504392745e-07
Labyrinthulomycetes,0.0,0.0,0.0,0.0,0.0,6.05974729035875e-07,0.0,7.069205400105411e-07,5.050816262416169e-07,2.0201565156663643e-07,0.0,4.039985093709339e-07,0.0,2.9444261618097314e-07
Lachnospirales,0.0,0.0,0.0,0.0,0.0,0.013594740058555339,0.013586965855093511,0.013609836213580084,0.013591140464210422,0.01357434069919435,0.0,0.01359140465812674,0.0,1.2862723250621287e-05
