# Constructed from biom file
#OTU ID	OL-16S-1a	OL-16S-1b	OL-16S-2a	OL-16S-2b	OL-16S-3a	OL-16S-3b	OL-16S-4a	OL-16S-4b
d422d32d4e2edd6b1dd3dcb2fd4ea1ac	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.0
30ccf709045cc942ef0e3e5705ab9782	0.0	0.0	28.0	0.0	0.0	0.0	0.0	56.0
f334ad05275ee88fa81ed68e6ca5dd85	0.0	0.0	0.0	84.0	0.0	0.0	0.0	0.0
3f69d683c8fadee25cd1f438cf4bb9b3	0.0	0.0	0.0	0.0	84.0	0.0	0.0	0.0
38e6f8c7081c039dba990eb695236f01	0.0	0.0	0.0	83.0	0.0	0.0	0.0	0.0
7b91c087b571c1d91b58a44d7bef4e71	0.0	0.0	0.0	0.0	83.0	0.0	0.0	0.0
f250a569b4b352cc7345f5520bda2062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.0
0afd94a1b05a652ac8a77eff3900c174	82.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cb97f7c7d3b3da274d77827cf90470df	0.0	0.0	0.0	82.0	0.0	0.0	0.0	0.0
1d744cbce57e1870f13a7336e4a5d915	0.0	0.0	0.0	0.0	82.0	0.0	0.0	0.0
b342d18ec2ec33e30313ca441440aa5c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.0
4f93e040fd83fa31f871e408ebd58934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.0
bafbf2595e3d5ede58f4de672e2c334d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.0
a8a1612d05185b10684cc5b95477e9f0	81.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f0f3de34e85e14706e63a5d910b5ff10	0.0	81.0	0.0	0.0	0.0	0.0	0.0	0.0
d8944d9b4ee768f8228f3c8395ce3133	0.0	0.0	0.0	81.0	0.0	0.0	0.0	0.0
308bb8c656d76cbbef42523de6c1bec6	0.0	0.0	0.0	81.0	0.0	0.0	0.0	0.0
3af00ac39a69094e2e6e00041a356497	0.0	0.0	0.0	81.0	0.0	0.0	0.0	0.0
dbd18b26559e35c1629ad47a672bdf23	0.0	0.0	0.0	0.0	81.0	0.0	0.0	0.0
07a86ed30cdd04ee1f5b3185abdae81f	0.0	0.0	0.0	0.0	36.0	0.0	0.0	45.0
b86f4d28bd757c34d11031d73c82ced0	0.0	0.0	0.0	0.0	0.0	81.0	0.0	0.0
88b0fc1374a9c589d0ceae3572fbfd08	0.0	0.0	0.0	0.0	0.0	0.0	81.0	0.0
da4ae79e4fc2399b29ad45a83ecfab01	0.0	0.0	0.0	0.0	0.0	0.0	81.0	0.0
aca01879888b271bf6a4ec8d4662591e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.0
f4866b1cab7f6d93e065ab597450b883	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.0
7da66fc177a6f547a83b804d8eb2b5b4	80.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
848f79429800db328a759a2a28069321	0.0	0.0	0.0	0.0	80.0	0.0	0.0	0.0
212396513900cd1a9e4c1a24a45127c3	0.0	0.0	0.0	0.0	0.0	80.0	0.0	0.0
92ec5093ca04bdc4b5ed6b3903c8d8b9	0.0	0.0	0.0	0.0	0.0	80.0	0.0	0.0
54466145385a6d897b87de04f2446f86	0.0	0.0	0.0	0.0	0.0	80.0	0.0	0.0
31e0754fa344e5a86f8ca7414f7322e1	0.0	0.0	0.0	0.0	0.0	0.0	34.0	46.0
8b432935c7568aab90eedf81072a50b7	79.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
de36fd37d4a67a84ab10cf4dbc3c64ba	45.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0
0a756154b5455eb83cc52b7b21d89f78	0.0	79.0	0.0	0.0	0.0	0.0	0.0	0.0
8f0b7554b217b3cfc3ec0bae5d6aec9f	0.0	40.0	0.0	39.0	0.0	0.0	0.0	0.0
28885d4cbd7c1f05052cdcfcc2caeb6e	0.0	0.0	0.0	0.0	79.0	0.0	0.0	0.0
