"","Kingdom","Phylum","Class","Order","Family","Genus","Species","Ocean1","Ocean2"
"121","Bacteria","Bacteroidetes","Saprospiria","Saprospirales","Lewinellaceae","Lewinella","Lewinella_cohaerens",0.00095,0.00053
"122","Bacteria","Bacteroidetes","CFGB35558","OFGB35558","FGB35558","GGB46624","GGB46624_SGB64495",0.00093,0.00131
"123","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Polaribacter","Polaribacter_aestuariivivens",0.00078,0.00289
"124","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingopyxis","Novosphingopyxis_baekryungensis",0.00075,0.00205
"125","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Nonlabens","Nonlabens_dokdonensis",5e-04,0.00189
"126","Bacteria","Proteobacteria","CFGB8817","OFGB8817","FGB8817","GGB26562","GGB26562_SGB38736",0.00036,0
"127","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Gillisia","Gillisia_marina",0.00035,0.00049
"128","Bacteria","Proteobacteria","CFGB16045","OFGB16045","FGB16045","GGB44803","GGB44803_SGB62268",2e-04,0.00212
"129","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Limnobacter","Limnobacter_sp_130",0,0.00271
"130","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","Alteromonas_sp_LOR",0,0.00244
"131","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified","alpha_proteobacterium_SCGC_AAA076_C03",0,0.00207
"132","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Reichenbachiellaceae","GGB14061","GGB14061_SGB21491",0,0.00182
"133","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio_splendidus",0,0.00172
"134","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Cellulophaga","Cellulophaga_tyrosinoxydans",0,0.00171
"135","Bacteria","Bacteroidetes","CFGB42415","OFGB42415","FGB42415","GGB46793","GGB46793_SGB64683",0,0.00143
"136","Bacteria","Proteobacteria","CFGB7154","OFGB7154","FGB7154","GGB43265","GGB43265_SGB60563",0,0.00135
"137","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Colwellia","Colwellia_aestuarii",0,0.00106
"138","Bacteria","Bacteroidetes","CFGB45966","OFGB45966","FGB45966","GGB56930","GGB56930_SGB78386",0,0.00085
"139","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sulfitobacter","Sulfitobacter_litoralis",0,0.00079
"140","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Parerythrobacter","Parerythrobacter_lutipelagi",0,0.00066
"141","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Aurantibacter","Aurantibacter_aestuarii",0,0.00059
"142","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","Rhodobacteraceae_bacterium",0,0.00054
"143","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Halieaceae_unclassified","marine_gamma_proteobacterium_HTCC2148",0,0.00048
"144","Bacteria","Proteobacteria","CFGB44803","OFGB44803","FGB44803","GGB66648","GGB66648_SGB90272",0,0.00027
"145","Bacteria","Proteobacteria","CFGB12608","OFGB12608","FGB12608","GGB35671","GGB35671_SGB46930",0,0.00021
"146","Bacteria","Rhodothermaeota","Rhodothermia","Rhodothermales","Rubricoccaceae","Rubricoccus","Rubricoccus_marinus",0,6e-05
