"","Phylum","Class","Order","Family","Genus","Species","Ocean1","Ocean2"
"24221","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","Bdellovibrio bacteriovorus_B",0,5
"24222","Nitrospirota","Thermodesulfovibrionia","Thermodesulfovibrionales","JdFR-85","BMS3Bbin07","BMS3Bbin07 sp002898135",0,1
"24223","Nitrospirota","UBA9217","UBA9217","UBA9217","GWC2-57-13","GWC2-57-13 sp001805055",0,7
"24224","Firmicutes_C","Negativicutes","Selenomonadales","Selenomonadaceae","Selenomonas_A","Selenomonas_A sp000702005",0,1
"24225","Firmicutes_C","Negativicutes","Selenomonadales","Selenomonadaceae","Centipeda","Centipeda noxia",0,6
"24226","Firmicutes_C","Negativicutes","Selenomonadales","Selenomonadaceae","Centipeda","Centipeda infelix",0,3
"24227","Firmicutes_C","Negativicutes","Selenomonadales","Selenomonadaceae","Centipeda","Centipeda sp000318175",0,1
"24228","Firmicutes_C","Negativicutes","Selenomonadales","Selenomonadaceae","Selenomonas","Selenomonas sputigena",0,22
"24229","Firmicutes_C","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella sp002959755",0,3
"24230","Firmicutes_C","Negativicutes","Veillonellales","Negativicoccaceae","Negativicoccus","Negativicoccus massiliensis",0,1
"24231","Desulfobacterota_A","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Mailhella","Mailhella sp003512875",0,3
"24232","Desulfobacterota_A","Desulfovibrionia","Desulfovibrionales","Desulfonatronaceae","Desulfonatronum","Desulfonatronum sp002299865",0,3
"24233","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","GWC2-71-9","20CM-4-69-16","20CM-4-69-16 sp001919865",0,6
"24234","Gemmatimonadota","Gemmatimonadetes","SG8-23","UBA6960","UBA887","UBA887 sp002313925",0,4
"24235","Gemmatimonadota","Gemmatimonadetes","SG8-23","UBA6960","UBA822","UBA822 sp002712565",0,2
"24236","Marinisomatota","Marinisomatia","Marinisomatales","TCS55","UBA2126","UBA2126 sp002730315",0,2
"24237","Marinisomatota","Marinisomatia","Marinisomatales","Marinisomataceae","Marinisoma","Marinisoma sp002710515",0,4
"24238","Marinisomatota","Marinisomatia","SCGC-AAA003-L08","TMED6","TMED6","TMED6 sp002710085",0,4
"24239","Marinisomatota","Marinisomatia","SCGC-AAA003-L08","TMED161","TMED161","TMED161 sp002171125",0,3
"24240","Marinisomatota","Marinisomatia","SCGC-AAA003-L08","TMED161","TMED161","TMED161 sp002591605",0,1
"24241","Deinococcota","Deinococci","Deinococcales","Thermaceae","Thermus","Thermus oshimai",0,3
"24242","Verrucomicrobiota_A","Chlamydiia","Parachlamydiales","Ga0074140","2-02-FULL-49-12","2-02-FULL-49-12 sp001796315",0,1
"24243","Verrucomicrobiota_A","Chlamydiia","Parachlamydiales","SM23-39","2-02-FULL-45-22_A","2-02-FULL-45-22_A sp002773795",0,3
