Genus,OL-16S-1a,OL-16S-1b,OL-16S-2a,OL-16S-2b,OL-16S-3a,OL-16S-3b,OL-16S-4a,OL-16S-4b
SAR86_clade,0.010063819342169858,0.0067662813645334085,0.008343558282208589,0.005970149253731343,0.01745276215202654,0.022068257634077496,0.03367684946632315,0.015140324963072379
SAR92_clade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004062038404726735
SCGC_AAA164-E04,0.0,0.010713278827177897,0.018650306748466256,0.016119402985074627,0.0070676474830520695,0.010264305876315114,0.007545086492454913,0.009601181683899557
SCGC_AAA286-E23,0.0,0.0,0.0,0.0,0.0,0.0,0.001472211998527788,0.0
SH-PL14,0.012027491408934709,0.01804341697208909,0.014233128834355829,0.014328358208955224,0.0,0.0,0.0,0.0
SH3-11,0.0,0.0,0.00588957055214724,0.0,0.0,0.0,0.0,0.0
SL56_marine_group,0.002700049091801669,0.002255427121511136,0.0,0.0,0.0,0.0,0.0,0.0
Saccharimonadales,0.0,0.0,0.0,0.0,0.002740516370979374,0.0023094688221709007,0.001104158998895841,0.0022156573116691287
Saprospira,0.0,0.0,0.0,0.0,0.0014423770373575653,0.0,0.0,0.0
Schlesneria,0.007118311242022582,0.006484352974344516,0.0,0.0,0.0,0.0,0.0,0.0
Sediminibacterium,0.021354933726067747,0.02227234282492247,0.026012269938650308,0.01154228855721393,0.0,0.0,0.0,0.0
Sericytochromatia,0.0,0.0,0.0,0.004378109452736319,0.004759844223279966,0.0,0.0,0.00258493353028065
Sneathiella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009231905465288035
Sphingomicrobium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004062038404726735
Stappiaceae,0.0,0.0,0.0,0.0,0.010529352372710226,0.026943802925327175,0.02521163047478837,0.008677991137370753
Subgroup_10,0.0,0.0,0.0,0.0,0.007211885186787826,0.00718501411342058,0.008649245491350755,0.008677991137370753
Subgroup_17,0.0,0.0,0.0,0.0027860696517412937,0.0,0.0,0.0,0.00258493353028065
Subgroup_2,0.0,0.004792782633211165,0.0,0.007960199004975124,0.0,0.0,0.0,0.0
Subgroup_22,0.0,0.0,0.0,0.0009950248756218905,0.0,0.0,0.0,0.0
Subgroup_23,0.0,0.0,0.0,0.0,0.0,0.0,0.00736105999263894,0.01070901033973412
Subgroup_5,0.0,0.00281928390188892,0.0,0.0,0.0,0.0,0.0,0.0
Sulfuricurvum,0.0,0.0,0.0041717791411042945,0.0,0.0,0.0,0.0,0.0
Sulfurifustis,0.012763868433971527,0.013532562729066817,0.012515337423312883,0.014129353233830846,0.0,0.0,0.0,0.0
Sulfurimonas,0.0,0.0,0.0,0.0,0.010817827780181739,0.020015396458814474,0.019874861980125138,0.014771048744460856
Sulfurovum,0.0,0.0,0.0,0.0,0.012692917928746574,0.024634334103156273,0.02410747147589253,0.01624815361890694
Sva0081_sediment_group,0.0,0.0,0.0,0.0,0.010529352372710226,0.0,0.0,0.0
Sva0485,0.0022091310751104565,0.0,0.0,0.0027860696517412937,0.0,0.0,0.0,0.0024002954209748893
Sva0996_marine_group,0.0,0.0,0.0,0.0,0.016587335929612,0.022324865280985373,0.013065881486934118,0.0155096011816839
Sva1033,0.0,0.0,0.0,0.0,0.0,0.0,0.007545086492454913,0.006277695716395864
Symphothece_PCC-7002,0.0,0.0,0.0,0.0,0.0099524015577672,0.006928406466512702,0.009753404490246595,0.006831610044313146
Synechococcus_CC9902,0.0,0.0,0.0,0.0,0.06663781912591951,0.05876315114190403,0.07103422892896577,0.0723781388478582
T34,0.0031909671084928816,0.002537355511700028,0.0026993865030674846,0.003781094527363184,0.0,0.0,0.0,0.0
TRA3-20,0.024054982817869417,0.021708486044544686,0.027239263803680983,0.020497512437810946,0.0,0.0,0.0,0.0
Taeseokella,0.0,0.0,0.0,0.0,0.008942737631616904,0.008981267641775726,0.00368052999631947,0.0
Tamlana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066469719350073855
Tenacibaculum,0.0,0.0,0.0,0.0,0.005769508149430261,0.0,0.0,0.0
Terrimicrobium,0.00859106529209622,0.010149422046800112,0.005644171779141104,0.009154228855721393,0.0,0.0,0.0,0.0
Terrimonas,0.0,0.0,0.011042944785276074,0.01373134328358209,0.0,0.0,0.0,0.0
Thalassospira,0.0,0.0,0.0,0.0,0.004759844223279966,0.0,0.0,0.0
Thalassotalea,0.0,0.0,0.0,0.0,0.0,0.0,0.0038645564961354434,0.004246676514032497
Thaumasiovibrio,0.0,0.0,0.0,0.0,0.011539016298860522,0.014113420579933282,0.012145748987854251,0.014586410635155096
Thiobacillus,0.014482081492390771,0.0,0.0,0.00835820895522388,0.0,0.0,0.0,0.0
Thiomicrorhabdus,0.0,0.0,0.0,0.0,0.004615606519544209,0.0,0.0016562384983437614,0.0029542097488921715
Thiothrix,0.0,0.0,0.0,0.001791044776119403,0.0,0.0,0.0,0.0
Turneriella,0.0,0.0,0.0,0.0013930348258706469,0.0,0.0,0.0,0.0
UBA10353_marine_group,0.0,0.0,0.0051533742331288344,0.0,0.007211885186787826,0.01077752117013087,0.009569377990430622,0.01310930576070901
Urania-1B-19_marine_sediment_group,0.0,0.0,0.0,0.0,0.0,0.0025660764690787785,0.0,0.0
Vampirovibrionales,0.0,0.0,0.0,0.0,0.0,0.003079291762894534,0.0,0.0
Verruc-01,0.0,0.0,0.0,0.0,0.010096639261502957,0.02258147292789325,0.012145748987854251,0.015324963072378139
Vicinamibacteraceae,0.019391261659302897,0.01917113053284466,0.007607361963190184,0.010348258706467661,0.0,0.0,0.0,0.0
WS2,0.0,0.0,0.0,0.0,0.0025962786672436176,0.0007698229407236335,0.0020242914979757085,0.0
WWH38,0.0,0.0,0.0017177914110429449,0.0,0.0,0.0,0.0,0.0
Wenyingzhuangia,0.0,0.0,0.0,0.0,0.006346458964373287,0.0,0.0,0.0
Woesearchaeales,0.0,0.0,0.0,0.0,0.00865426222414539,0.015139851167564793,0.012881854987118146,0.010893648449039882
Xenococcus_PCC-7305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020310192023633676
ZOR0006,0.0,0.0,0.0,0.0,0.0020193278523005912,0.0,0.0,0.0
Zixibacteria,0.0,0.0,0.0,0.0,0.0015866147410933218,0.0,0.0009201324990798675,0.0
[Caedibacter]_taeniospiralis_group,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027695716395864105
cvE6,0.0,0.0,0.0,0.0,0.002740516370979374,0.0,0.001472211998527788,0.0009231905465288035
env.OPS_17,0.003436426116838488,0.006202424584155625,0.0036809815950920245,0.0,0.0,0.0,0.0,0.0
hgcI_clade,0.020618556701030927,0.04341697208908937,0.0301840490797546,0.02527363184079602,0.0,0.0,0.0,0.0
vadinHA49,0.0,0.0,0.0,0.0,0.002452040963507861,0.0,0.0,0.0
