Genus,OL-PAMA-1a,OL-PAMA-1b,OL-PAMA-2a,OL-PAMA-2b,OL-PAMA-3a,OL-PAMA-3b,OL-PAMA-4a,OL-PAMA-4b
"=""Bythopirellula""",0.0,0.0,0.0,0.00013591928485545506,0.0003319391887406227,0.0,0.0004115573753192208,0.00039679643886598315
"=""C1-B045""",0.0,0.0010488345193985374,0.0,0.0,0.0,0.0,0.0,0.0
"=""C2U""",0.0,0.0,0.0,0.0,0.0,7.062010875496749e-05,0.0,0.0
"=""C86""",0.0,0.0,0.0,0.0,8.114069058104111e-05,3.210004943407613e-05,0.0,0.0
"=""C8S-102""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0169664684204765e-05
"=""CCD24""",0.0004692828315483205,0.0008821972593071811,0.001065019436604718,0.0009618903235924513,0.0,0.0,0.0,0.0
"=""CCM11a""",0.0,0.0,0.0,0.0,0.0002212927924937485,0.00041088063275617447,0.0005487431670922944,6.841317911482468e-05
"=""CL500-29_marine_group""",0.0018667028188255415,0.001489933149052128,0.0012886735182917088,0.00039730252496209944,0.0,0.0,0.0,0.0
"=""CL500-3""",0.002221272069328717,0.002019251504636437,0.003045955588689494,0.0027288410267133673,6.638783774812455e-05,0.0005136007909452181,0.0003693463624659674,0.00026909183785164375
"=""CPR2""",0.0,0.0,0.0,0.0,0.0,0.0,0.00016884405141301366,0.0
"=""CV1-B1-93""",0.001209706854657893,0.0014507243819718088,0.002651898397145748,0.0,0.0,0.0,0.0,0.0
