phylum,1000_1_nt_rpm,1000_2_nt_rpm,1000_3_nt_rpm,1000_4_nt_rpm,1000_5_nt_rpm,10000_1_nt_rpm,10000_2_nt_rpm,10000_3_nt_rpm,10000_4_nt_rpm,10000_5_nt_rpm,100000_1_nt_rpm,100000_2_nt_rpm,100000_3_nt_rpm,100000_4_nt_rpm,100000_5_nt_rpm,1000000_1_nt_rpm,1000000_2_nt_rpm,1000000_3_nt_rpm,1000000_4_nt_rpm,1000000_5_nt_rpm,10000000_1_nt_rpm,10000000_2_nt_rpm,10000000_3_nt_rpm,10000000_4_nt_rpm,10000000_5_nt_rpm
Nebulidia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000020000200002e-06,0.0,1.0000060000360005e-06,0.0,6.87578710014343e-07,0.0,0.0,6.873812388441177e-07,0.0
Negarnaviricota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.87578710014343e-07,0.0,6.879200231659802e-07,6.873812388441177e-07,0.0
Nematoda,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0,2.000020000200002e-05,6e-05,7.000000000000001e-05,4e-05,3.000030000300003e-05,4.500036000288002e-05,3.700037000370004e-05,3.400027200217602e-05,6.300037800226802e-05,5.100040800326403e-05,5.0880824541061385e-05,5.431316533454412e-05,6.122488206177225e-05,5.361573662984117e-05,4.881648339283819e-05
Nematomorpha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-05,0.0,0.0,1e-05,0.0,8.000064000512004e-06,7.000070000700008e-06,6.000048000384003e-06,8.000048000288002e-06,5.000040000320002e-06,6.87578710014343e-06,4.125050531737528e-06,3.439600115829901e-06,2.062143716532353e-06,3.437780520622407e-06
Nemertea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-05,0.0,0.0,1e-05,1.000010000100001e-05,5.000040000320003e-06,5.000050000500004e-06,8.000064000512004e-06,1.000006000036e-05,4.000032000256002e-06,7.563365810157775e-06,8.93760948543131e-06,1.3758400463319606e-05,4.811668671908823e-06,2.750224416497926e-06
Nitrososphaerota,0.0,0.0,0.0,0.0,0.0,0.0005,0.0004,0.0002,0.0002,0.00030000000000000003,0.00037000370003700025,0.00032,0.00039,0.00052,0.00036000360003600023,0.0004490035920287362,0.0004760047600476005,0.0003760030080240642,0.0003930023580141481,0.0004310034480275842,0.0004613653144195069,0.00040562996895419023,0.0004299500144787377,0.0004241142243668206,0.00041115855026643995
Nitrospinota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000020000200002e-05,6e-05,2e-05,3.0000000000000004e-05,1.000010000100001e-05,1.3000104000832007e-05,1.9000190001900018e-05,1.800014400115201e-05,2.1000126000756008e-05,1.1000088000704005e-05,2.2002518720458975e-05,2.2687777924556405e-05,3.370808113513304e-05,1.7871912209947057e-05,1.7188902603112035e-05
Nitrospirota,0.0,0.0,0.0,0.002,0.0,0.0007,0.00030000000000000003,0.0001,0.0005,0.0006000000000000001,0.0003100031000310001,0.00037000000000000005,0.00032,0.00018,0.00024000240002400007,0.000304002432019424,0.00027300273002730006,0.00029100232801860805,0.00028500171001018,0.00030500244001947606,0.00028328242852584864,0.0002426904729505254,0.0002634733688725197,0.00024333295855078236,0.0002798353343785809
Nucleocytoviricota,0.0,0.0,0.0,0.0,0.0,0.0001,0.00030000000000000003,0.0,0.0,0.0001,5.0000500005000046e-05,6.000000000000001e-05,9e-05,4e-05,0.00014000140001400014,8.400067200537604e-05,6.700067000670007e-05,7.700061600492804e-05,7.300043800262802e-05,5.400043200345603e-05,6.87578710014343e-05,6.53133000858442e-05,8.599000289574755e-05,7.286241131747647e-05,7.08182787248216e-05
Olpidiomycota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Onychophora,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.879200231659802e-07,0.0,0.0
