Family,ocean_combined_1000_1,ocean_combined_1000_2,ocean_combined_1000_3,ocean_combined_1000_4,ocean_combined_1000_5,ocean_combined_10000_1,ocean_combined_10000_2,ocean_combined_10000_3,ocean_combined_10000_4,ocean_combined_10000_5,ocean_combined_100000_1,ocean_combined_100000_2,ocean_combined_100000_3,ocean_combined_100000_4,ocean_combined_100000_5,ocean_combined_1000000_1,ocean_combined_1000000_2,ocean_combined_1000000_3,ocean_combined_1000000_4,ocean_combined_1000000_5,ocean_combined_10000000_1,ocean_combined_10000000_2,ocean_combined_10000000_3,ocean_combined_10000000_4,ocean_combined_10000000_5
Archaeoglobaceae,,,,,,,,,,,,,,,,,,,,,1.8e-06,4.2e-06,1.6e-06,8e-07,1.5e-06
Archangiaceae,,,,,,,,,,,,,,,,,2e-06,,,,2.5e-06,1.7e-06,2.2e-06,1.4e-06,1.5e-06
Archigregarinorida,,,,,,,,,,,,,,,,,,,,,3e-06,2.7e-06,2.6e-06,9e-07,2.1e-06
Archipsocidae,,,,,,,,,,,,,,,,,,,,,5e-07,3e-07,4e-07,5e-07,3e-07
Arcobacteraceae,,,,,,,,,,,,7e-05,7e-05,,6e-05,4.6e-05,3.3e-05,4.3e-05,5.7e-05,5.8e-05,3.67e-05,3.69e-05,3.72e-05,3.75e-05,3.59e-05
Arctic95B-14,,,,,,,,,,,,,,,,,,,,,4e-07,2e-07,6e-07,2e-07,9e-07
Ardenticatenaceae,,,,,,,,,,,,,,,,,,,,,7e-07,7e-07,4e-07,9e-07,5e-07
Arecaceae,,,,,,,,,,,,,,,,,,,7e-06,2e-06,1.11e-05,9e-06,8.8e-06,9.7e-06,1.18e-05
Arenicellaceae,,,,,,0.0006,,0.0012,0.0014,0.0012,0.00107,0.00101,0.00106,0.00116,0.00118,0.00114,0.001168,0.00106,0.001202,0.000961,0.0009318,0.0009457,0.0009369,0.0009273,0.0009363
Argulidae,,,,,,,,,,,,,,,,,,,,6e-06,2.8e-06,3.1e-06,2.1e-06,3.6e-06,3e-06
Aristeidae,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Armatimonadaceae,,,,,,,,,,,,,,,,,,,,,,,,,3e-07
Arthrodermataceae,,,,,,,,,,,,,,,,,,2e-06,,,9e-07,8e-07,1.1e-06,9e-07,1e-06
Ascaridiidae,,,,,,,,,,,,,,,,,,,,2e-06,1.8e-06,1.4e-06,1.6e-06,1.6e-06,7e-07
Ascetosporea,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
