Order,ocean_combined_1000_1,ocean_combined_1000_2,ocean_combined_1000_3,ocean_combined_1000_4,ocean_combined_1000_5,ocean_combined_10000_1,ocean_combined_10000_2,ocean_combined_10000_3,ocean_combined_10000_4,ocean_combined_10000_5,ocean_combined_100000_1,ocean_combined_100000_2,ocean_combined_100000_3,ocean_combined_100000_4,ocean_combined_100000_5,ocean_combined_1000000_1,ocean_combined_1000000_2,ocean_combined_1000000_3,ocean_combined_1000000_4,ocean_combined_1000000_5,ocean_combined_10000000_1,ocean_combined_10000000_2,ocean_combined_10000000_3,ocean_combined_10000000_4,ocean_combined_10000000_5
KCLunmb-38-53,,,,,,,,,,,,,,,,,,,,,,,,,1.47e-05
KD4-96,,,,,,,,,,,,6e-05,8e-05,,6e-05,4.6e-05,4.9e-05,4e-05,4.1e-05,3.6e-05,3.47e-05,3.03e-05,3.29e-05,3.37e-05,3.45e-05
KI89A clade,,,,,,0.0004,,,,,0.00026,0.00027,0.00051,0.00018,0.00032,0.000355,0.000347,0.00031,0.000363,0.000343,0.0003316,0.0003332,0.000339,0.0003365,0.0003405
Kallotenuales,,,,,,,,,,,,,,,,3e-06,,,3e-06,,1.4e-06,1.7e-06,1.6e-06,1.1e-06,1.4e-06
Kapabacteriales,,,,,,,,,,,,,,,,,,,,,5.6e-06,4.6e-06,5.6e-06,3.8e-06,3.8e-06
Katablepharis,,,,,,,,,,,,,,,,,,,,,5e-07,8e-07,8e-07,,3e-07
Kickxellales,,,,,,,,,,,,,,,,4.4e-05,3.6e-05,2.2e-05,2.8e-05,3.2e-05,3.27e-05,3.7e-05,5.73e-05,3.52e-05,4.95e-05
Kiitrichida,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,,
Kineosporiales,,,,,,,,,,,,,,,,,,4e-06,,,2.2e-06,3.5e-06,2.8e-06,2.6e-06,3.8e-06
Kiritimatiellales,,,,,,,,,,,,,2e-05,,,2.2e-05,1.6e-05,2.2e-05,2.5e-05,2e-05,1.81e-05,1.83e-05,1.79e-05,1.73e-05,1.93e-05
Kirschsteiniotheliales,,,,,,,,,,,,,,,,,,,,,,3e-07,,2e-07,2e-07
Kitasatosporales,,,,,,,,,,,,,,,,3.1e-05,3.1e-05,4.4e-05,5.5e-05,3.5e-05,3.73e-05,3.83e-05,3.45e-05,3.58e-05,3.86e-05
Klebsormidiales,,,,,,0.0018,,0.0012,0.0012,0.0011,0.00151,0.00162,0.00122,0.00133,0.00123,0.001386,0.001382,0.001395,0.001432,0.001363,0.0013941,0.0013842,0.001392,0.0013826,0.0013708
Kordiimonadales,,,,,,,,,,,0.00021,0.0001,0.00011,0.00016,0.00018,0.000142,0.00012,0.00015,0.000129,0.000142,0.0001331,0.0001384,0.0001349,0.0001342,0.000132
Kosmotogales,,,,,,,,,,,,,,,,,,,,,4e-07,,,,
Kriegeriales,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Kryptoniales,,,,,,,,,,,,,,,,,,,,,7e-07,7e-07,8e-07,5e-07,4e-07
Ktedonobacterales,,,,,,,,,,,2e-05,4e-05,,,4e-05,1.8e-05,2.5e-05,1.2e-05,1e-05,1.9e-05,1.69e-05,1.63e-05,1.65e-05,1.73e-05,1.74e-05
LCP-89,,,,,,,,,,,,,,,,,,,,,5e-07,5e-07,8e-07,1e-06,6e-07
LD1-PA32,,,,,,,,,,,,,,,,,,,,,,6e-07,7e-07,3e-07,2e-07
Labyrinthulomycetes,,,,0.006,0.005,0.0011,0.0017,0.0011,0.0014,0.0021,0.00131,0.00151,0.00143,0.0014,0.00158,0.001375,0.001398,0.001406,0.001313,0.001418,0.0014305,0.0014184,0.0014245,0.0014373,0.001431
Lachnospirales,,,,,,,,,,,,,,,,7.1e-05,7.1e-05,6.6e-05,4e-05,5.8e-05,4.93e-05,4.9e-05,5.18e-05,5.09e-05,4.74e-05
Lactobacillales,,,,,,0.0012,0.0008,0.001,0.0013,,0.00153,0.00166,0.00152,0.00163,0.0011,0.00154,0.001807,0.001863,0.001677,0.001632,0.0017668,0.0017779,0.0017755,0.0017692,0.0017281
Lamiales,,,,,,,,,,,,6e-05,,,,,,7.7e-05,9.2e-05,7.8e-05,7.19e-05,8.45e-05,7.6e-05,8.14e-05,7.34e-05
Laminariales,,,,,,,,,,,,,,,,,,,,,2.7e-06,1.3e-06,1.9e-06,1.7e-06,1.6e-06
Latescibacterales,,,,,,,,,,,,,,,,,,6e-06,,2e-06,4.5e-06,3.3e-06,3.2e-06,4e-06,4.2e-06
Latescibacterota,,,,,,,,,,,,,,,,1.5e-05,1.9e-05,3.4e-05,1.2e-05,1.6e-05,2.1e-05,2.08e-05,1.79e-05,2.02e-05,2.17e-05
Laurales,,,,,,,,,,,,,,,,,,,2e-06,,6e-07,9e-07,3e-07,3e-07,3e-07
Lecanorales,,,,,,,,,,,3e-05,,3e-05,,,8e-06,1.7e-05,1.5e-05,1.2e-05,1.7e-05,1.7e-05,1.85e-05,1.79e-05,1.85e-05,1.89e-05
Lecithoepitheliata,,,,,,,,,,,,,,,,,,,,,5e-07,8e-07,2e-07,2e-07,2e-07
Legionellales,,,,,,,,,,,,,2e-05,,,5.7e-05,5.5e-05,4.6e-05,5.6e-05,7.9e-05,7.96e-05,7.44e-05,7.38e-05,8.55e-05,7.95e-05
Lentisphaerales,,,,,,,,,0.0002,,7e-05,9e-05,9e-05,8e-05,3e-05,6.4e-05,6.3e-05,7.8e-05,7.1e-05,6e-05,7.35e-05,7.37e-05,7.97e-05,7.26e-05,7.8e-05
Leotiales,,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07
Leotiomycetes,,,,,,,,,,,,,,,,,4e-06,,,,2.8e-06,3.2e-06,2.4e-06,1.1e-06,1.6e-06
Lepetellida,,,,,,,,,,,,,,,,2e-06,3e-06,7e-06,6e-06,6e-06,4.3e-06,4e-06,5.1e-06,4.7e-06,4.8e-06
Lepidoptera,,,,,,,,,,,,,,,0.00015,9e-06,5.5e-05,8.8e-05,,4e-06,9.97e-05,9.8e-05,9.7e-05,9.47e-05,9.86e-05
Leptocylindrales,,,,,,,,,,,,,,,,,9e-06,,,,3.2e-06,2.9e-06,2.8e-06,2.6e-06,2.5e-06
Leptolyngbyales,,,,,,,,,,,6e-05,,6e-05,8e-05,,2.7e-05,1.4e-05,2e-05,1.9e-05,2e-05,1.75e-05,1.61e-05,1.75e-05,1.88e-05,1.79e-05
Leptomyxida,,,,,,,,,,,,,,,,3e-06,,3e-06,3e-06,4e-06,3.1e-06,3.1e-06,3.5e-06,3.3e-06,3e-06
Leptospirales,,,,,,,,,,,,,,,,,,,,,4e-07,5e-07,,,8e-07
Leptostraca,,,,,,,,,,,,,,,,,,,,,1.6e-06,1.4e-06,1.1e-06,2.4e-06,1.3e-06
Leptothecata,,,,,,0.0002,,,,,8e-05,0.00012,0.00015,0.00015,0.0001,0.00012,0.000128,0.000101,0.000131,0.000108,0.0001107,0.0001178,0.0001138,0.0001178,0.0001151
Lichinales,,,,,,,,,,,,,,,,,,,,,2e-06,,,2.1e-06,
Licmophorales,,,,,,,0.0003,,,0.0003,0.00054,0.00048,0.00033,0.00054,0.00062,0.000484,0.000452,0.000471,0.000472,0.000423,0.000495,0.0004872,0.0004947,0.0004948,0.0004907
Licnophorida,,,,,,,,,,,,,,,,,,,,,1.1e-06,9e-07,6e-07,,8e-07
Liliales,,,,,,,,,,,,,,,,2e-06,,,,,4.7e-06,6.3e-06,4.3e-06,4.6e-06,5.4e-06
Limifossorida,,,,,,,,,,,,,,,,,,,,,4e-07,,2e-07,,
Limisphaerales,,,,,,,,,,,,,,,,,,,,,2.8e-06,2.6e-06,2.6e-06,1.6e-06,1.7e-06
Limnochordales,,,,,,,,,,,,,,,,,,,,2e-06,6e-07,6e-07,5e-07,6e-07,4e-07
Limnochordia,,,,,,,,,,,,,,,,1e-05,,,5e-06,,1.7e-06,1.7e-06,1.7e-06,1.7e-06,1.7e-06
Lineage I,,,,,,,,,,,,,,,,,,,,,1.3e-06,1.1e-06,,1e-06,9e-07
Lineage IIb,,,,,,,,,,,,,,,,,,,,,1.2e-06,1.6e-06,8e-07,1.1e-06,1.3e-06
Lineage IIc,,,,,,,,,,,,,,,,,,,,,,7e-07,8e-07,1e-06,5e-07
Lithobiomorpha,,,,,,,,,,,,,,,,,,,,,,,6e-07,7e-07,7e-07
Litostomatea,,,,0.014,,0.0051,0.0043,0.0027,0.0047,0.0028,0.00439,0.00404,0.0037,0.00391,0.00421,0.003989,0.003865,0.003968,0.003944,0.00407,0.0039349,0.0039468,0.0039455,0.0039387,0.0039279
Littorinimorpha,,,,,,,,,,,,,,,,2e-06,,,,,3e-06,1e-06,4.4e-06,7e-07,9e-07
Lituolida,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
Longamoebia,,,,,,,,,,,,,,,,,,,,,1e-06,1.5e-06,1.2e-06,8e-07,1.2e-06
Longimicrobiales,,,,,,,,,,,,,,,,5e-06,,3e-06,,2e-06,1.07e-05,7.9e-06,1.03e-05,7.9e-06,8.9e-06
Lotharella oceanica   ,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07,
Loxodida,,,,,,,,,0.0007,,0.0002,0.00027,0.00027,0.00019,0.00029,0.000252,0.000288,0.000243,0.000255,0.000259,0.0002577,0.0002547,0.0002507,0.0002558,0.00026
Lulworthiales,,,,,,,,,,,,,,,,,,2e-06,,,2.1e-06,2.3e-06,2.7e-06,2.6e-06,2.5e-06
Lycopodiales,,,,,,,,,,,,,,,,,,,,,,,,2e-07,3e-07
Lyrellales,,,,,,,,,,,,,,,,,,,,,,5e-07,,,
Lysobacterales,,,,,,,,,,,0.00014,0.00015,0.00013,0.00011,0.00014,0.000124,0.000139,0.000115,0.000133,0.000125,0.00013,0.0001277,0.0001204,0.0001258,0.0001287
MAST-1,,,,,,,,,,,,,,,,,,,2e-06,,3.3e-06,2.3e-06,2e-06,7e-07,1.9e-06
MAST-12,,,,,,,,,,,,,,,,3e-06,4e-06,6e-06,,5e-06,6.6e-06,1.41e-05,1.21e-05,8.2e-06,1.63e-05
MAST-12C,,,,,,,,,,,,,,,,,,,,2e-06,1.6e-06,2.1e-06,2e-06,2.2e-06,2.5e-06
MAST-16,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,2e-07,,4e-07
MAST-3,,,,,,,,,,,,,,,,,1.5e-05,2e-06,1.2e-05,,5.7e-06,1.2e-06,2.05e-05,1.92e-05,1.86e-05
MAST-4,,,,,,,,,,,6e-05,3e-05,,,0.00022,4.5e-05,0.000103,6.6e-05,7.6e-05,9e-05,5.66e-05,3.88e-05,0.0001305,4.72e-05,5.49e-05
MAST-8,,,,,,,,,,,,,,,,,,,,,,,,,1e-06
MAST-9,,,,,,,,,,,,,,,,,,,,,,,,,5e-07
MAT-CR-P4-C12,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,,
MB-A2-108,,,,,,,,,,,,,,,,,,,,,1e-06,,1.4e-06,1.1e-06,9e-07
MB11C04 marine group,,,,,,,,,,,4e-05,,2e-05,0.00017,,0.000142,0.000275,0.00028,0.000405,0.000287,0.000312,0.0003085,0.0003198,0.0003177,0.000322
MBA03,,,,,,,,,,,,,,,,,,,,,3e-07,4e-07,3e-07,4e-07,7e-07
MBAE14,,,,,,,,,,,,,,,,1.1e-05,,1.3e-05,,1.4e-05,1.03e-05,1.01e-05,9.5e-06,9.8e-06,8.6e-06
MBNT15,,,,,,,,,,,,,,,,,,,,,2.8e-06,,2e-06,2.1e-06,1.7e-06
ML-A-10,,,,,,,,,,,,,,,,,,,,,,5e-07,5e-07,5e-07,5e-07
ML310M-34,,,,,,,,,,,4e-05,4e-05,3e-05,,4e-05,2.2e-05,2.2e-05,2.2e-05,1.5e-05,1.6e-05,2.17e-05,2.27e-05,2.13e-05,2.28e-05,2.13e-05
MSB-3A7 sediment group,,,,,,,,,,,,,,,,,,,,,1.4e-06,1.4e-06,1.3e-06,1.6e-06,1.2e-06
MSBL5,,,,,,,,,,,,,,,,,,,,,3e-07,5e-07,4e-07,6e-07,3e-07
MSBL9,,,,,,,,,,,,,2e-05,,,3.9e-05,2e-05,5.2e-05,2.5e-05,3e-05,7.91e-05,5.91e-05,7.89e-05,6.02e-05,7.25e-05
MVP-15,,,,,,,,,,,,,,,,,,,,,4e-07,3e-07,,,
MVP-21,,,,,,,,,,,,,,,,,,,,,,4e-07,,3e-07,
Macrodasyida,,,,,0.022,0.0061,0.0042,0.0061,0.0055,0.0044,0.00448,0.0045,0.00433,0.00447,0.00435,0.004229,0.004186,0.004145,0.00427,0.00419,0.0042188,0.00423,0.004255,0.0042176,0.0042492
Macrostomida,,,,,,,,,,,,,,,,,4e-06,1e-05,1e-05,,3.87e-05,9.6e-06,3.35e-05,3.24e-05,1.15e-05
Magnetococcales,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Magnoliales,,,,,,,,0.0004,0.0002,0.0002,0.00014,0.00012,0.00016,0.0002,9e-05,0.000139,0.000129,0.000135,0.000169,0.000168,0.000183,0.0001842,0.0001795,0.0001946,0.0002226
Magnoliophyta,,,,,,,,,,,,,,,,0.000261,0.000259,0.000428,0.000325,0.000283,0.0001522,0.0001542,0.0001555,0.0001595,0.0001555
Malawimonadida,,,,,,,,,,,,,,,,,,,,,1.5e-06,1.2e-06,9e-07,1.2e-06,6e-07
Malpighiales,,,,,,,,,,,,0.00047,,,0.00049,0.0003,0.000383,0.000333,0.000338,0.000361,0.0002327,0.0002344,0.0002352,0.0002387,0.0002342
Malvales,,,,,,,,,,,,,,,,3.1e-05,3.1e-05,3.1e-05,4e-05,4.1e-05,3.7e-05,3.51e-05,3.96e-05,3.74e-05,3.91e-05
Mamiellales,,,,,,,,,,,,,,,,,2e-06,2e-06,2e-06,,2.6e-06,1.7e-06,1.9e-06,1.9e-06,2.5e-06
Mantodea,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,4e-07,4e-07
Mantophasmatodea,,,,,,,,,,,,,,,,,,,,,7e-07,6e-07,9e-07,6e-07,4e-07
Marchantiales,,,,,,,,,,,,,,,,,,,,,4e-07,2e-07,4e-07,,2e-07
Margulisbacteria,,,,,,,,,,,,,,,,,,,,,2.1e-06,2.1e-06,1.3e-06,1.5e-06,2e-06
Maricaulales,,,,,,,,,,,,,,,,4.3e-05,1.7e-05,2.3e-05,3.5e-05,4.9e-05,3.78e-05,3.88e-05,4.07e-05,3.85e-05,3.81e-05
Marinilabiliales,,,,,,,,,,,,,,,4e-05,1.8e-05,1.4e-05,4.4e-05,9e-06,4.4e-05,3.33e-05,3.55e-05,3.46e-05,3.47e-05,3.29e-05
Marinimicrobia (SAR406 clade),,,,,,,,,,,2e-05,,,,2e-05,,5e-06,4e-06,4e-06,4e-06,3.5e-06,3.4e-06,3.6e-06,3.4e-06,4.1e-06
Mariprofundales,,,,,,,,,,,,,,,,,4e-06,7e-06,8e-06,,5.1e-06,5.2e-06,5.1e-06,5.2e-06,5.3e-06
Marsupiomonadales,,,,,,,,,,,,,,,,1.1e-05,7e-06,,5e-06,9e-06,9.5e-06,9.6e-06,9.8e-06,1.17e-05,1.09e-05
Mastigamoebida,,,,,,,,,,,,,,,,,,,,,2e-06,1.7e-06,1.4e-06,2e-06,2.3e-06
Mazocraeidea,,,,,,,,,,,,,,,,,,,,,4e-07,3e-07,,7e-07,
Mecoptera,,,,,,,,,,,,,,,,7e-06,6e-06,4e-06,,6e-06,6.9e-06,8.9e-06,8.1e-06,7.9e-06,7.5e-06
Medicago truncatula (barrel medic) ,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Mediophyceae,,,,,,,,,,,,,,,,,,,,,1.2e-06,1.4e-06,4e-07,1.1e-06,1.2e-06
Megaloptera,,,,,,,,,,,,,,,,,,,,,3e-07,3e-07,5e-07,2e-07,
Melosirales,,0.01,0.005,0.01,0.005,0.0074,0.0092,0.0065,0.0089,0.0095,0.00595,0.00577,0.00583,0.00599,0.00534,0.005946,0.005947,0.006013,0.006012,0.006059,0.0058806,0.0058355,0.0058622,0.0058907,0.0058664
Mesoaciditogales,,,,,,,,,,,,,,,,,2e-06,,,,1e-06,4e-07,7e-07,4e-07,3e-07
Mesostigmatales,,,,,,,,,,,,,,,,,,,,,4e-07,5e-07,6e-07,2e-07,6e-07
Methanobacteriales,0.002,,,,,0.0004,0.0005,0.0003,0.0008,0.0005,0.0005,0.0004,0.00049,0.00047,0.00046,0.000543,0.000549,0.000511,0.000497,0.000603,0.0006539,0.0006816,0.0006548,0.0006305,0.0006427
Methanocellales,,,,,,,0.0003,,,,9e-05,0.00015,0.00013,4e-05,0.00013,0.000117,0.000105,0.000118,0.000123,0.000113,0.0001257,0.0001254,0.0001275,0.0001241,0.0001217
Methanococcales,,,,,,,,,,,,,,,,,,,,,1.5e-06,1e-06,1.5e-06,1.3e-06,2.2e-06
Methanomassiliicoccales,,,,,,,0.0004,,0.0009,0.0014,0.00061,0.00071,0.00062,0.00066,0.00055,0.000566,0.00058,0.000588,0.00057,0.000604,0.0005888,0.000592,0.0005932,0.0005887,0.0006002
Methanomicrobiales,,,,,,,,,,,,,3e-05,,2e-05,3.4e-05,4.1e-05,4.1e-05,4.3e-05,4.8e-05,6.48e-05,6.59e-05,6.57e-05,6.35e-05,6.46e-05
Methanosarcinales,,,0.002,,,,0.0008,0.0012,0.0002,0.0014,0.0008,0.00103,0.00105,0.00091,0.00094,0.000747,0.000819,0.000758,0.000778,0.000794,0.0008034,0.000808,0.0008184,0.000814,0.0008152
Methylococcales,,,,,,,,,,,,6e-05,,,,3.2e-05,2.4e-05,2.3e-05,2.6e-05,3.6e-05,8.23e-05,7.72e-05,6.43e-05,7.96e-05,9.58e-05
Methylomirabilales,,,,,,,,,,,,,,,,,,,,,,,,1.7e-06,
Methylophilales,,,,,,,0.0008,,0.0005,,0.00049,0.00046,0.00037,0.00037,0.0004,0.000357,0.000359,0.000355,0.000362,0.000356,0.000353,0.000354,0.0003522,0.0003541,0.0003524
Micavibrionales,,,,,,,,,,,3e-05,,6e-05,3e-05,,4.2e-05,5.1e-05,4.5e-05,5.6e-05,3.6e-05,4.92e-05,5.3e-05,5.15e-05,5.04e-05,5.19e-05
Microascales,,,,,,,,,,,,,,,,,,2e-06,,,5e-07,1.9e-06,8e-07,9e-07,9e-07
Microbotryales,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,,
Microbotryomycetes,,,,,,,,,,,0.0001,8e-05,,,,0.000108,8e-05,9.5e-05,8.8e-05,8.3e-05,8.9e-05,8.63e-05,9.07e-05,8.81e-05,9.01e-05
Micrococcales,0.005,,,,0.005,0.0043,0.0031,0.0034,0.001,0.0037,0.00175,0.00157,0.00187,0.00185,0.00184,0.001578,0.001626,0.001567,0.001615,0.001602,0.0016345,0.0016769,0.0016425,0.0016138,0.001642
Micromonosporales,,,,,,,,,,,3e-05,,,,5e-05,5.3e-05,5e-05,4.2e-05,2.5e-05,4e-06,4.97e-05,6.51e-05,6.01e-05,4.96e-05,4.37e-05
Micropepsales,,,,,,,,,,,,,,,,,,,,,7e-07,,8e-07,9e-07,
Microthoracida,,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,2e-07
Microtrichales,,,,,,,,,,,,,,0.00027,,0.000128,0.000143,0.000146,0.000157,0.000129,0.0001169,0.0001181,0.0001119,0.000121,0.0001178
Milano-WF1B-44,,,,,,,,,,,,,,,,,,,,,2.1e-06,1.8e-06,1.9e-06,1.4e-06,1.5e-06
Miliolida,,,,,,,,0.0004,0.0011,,0.00042,0.00039,0.00035,0.00042,0.00028,0.000401,0.000393,0.000371,0.000389,0.000415,0.0004042,0.0003975,0.0004007,0.000402,0.000402
Mobilida,,,,,,,,,,,,,,,,,,,,,8e-07,1.2e-06,6e-07,8e-07,8e-07
Moduliflexales,,,,,,,,,,,,,,,,,,,,,6e-07,8e-07,8e-07,6e-07,7e-07
Mollicutes RF9,,,,,,,,,,,,,,,,,,5e-06,2e-06,2e-06,7.8e-06,7.1e-06,7.1e-06,7.1e-06,6.4e-06
Monhysterida,,,,,,,,,,,,,,,4e-05,4.7e-05,2.5e-05,2.4e-05,3.1e-05,2.4e-05,5.12e-05,3.53e-05,5.04e-05,3.73e-05,4.8e-05
Monoblepharidales,,,,,,,,,,,,,,,,,5e-06,,,,3.9e-06,4.1e-06,3.3e-06,3.8e-06,3.5e-06
Monogenea,,,,,,,0.0004,,0.0002,0.0002,0.00016,0.00013,0.00018,0.00011,0.00011,0.000111,0.00011,0.000101,0.000123,0.000101,0.0001225,0.0001228,0.0001166,0.0001144,0.0001149
Monogononta,,,,,,,,,,,,,,,,,,,,,1.7e-06,3.4e-06,3.4e-06,,1.7e-06
Monomastigales,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,,
Monophragmophora,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
Monostilifera,,,,,,,,,,,,,,,,,,,,,4e-07,2e-07,8e-07,2e-07,5e-07
Monstrilloida,,,,,,,,,,,,,,,,,,,,,2e-07,,7e-07,,
Moorellales,,,,,,,,,,,,,,,,,,,,,7e-07,4e-07,4e-07,3e-07,5e-07
Moraxellales,,0.003,,,,0.0013,0.0041,0.0033,0.0016,0.003,0.00254,0.00275,0.00282,0.00293,0.00272,0.002556,0.002693,0.002714,0.002721,0.002712,0.0026596,0.0026929,0.0026536,0.0026748,0.0026803
Mortierellales,,,,,,,,,,,,,,,,,,,,,,2e-07,,3e-07,2e-07
Mucorales,,,,,,,,,,,,,,,,,,,,,4.7e-06,3.6e-06,7e-06,6.2e-06,4.4e-06
Mucoromycotina sp. WR266-C,,,,,,,,,,,,,,,2e-05,,4e-06,,,4.5e-05,1.57e-05,2.27e-05,1.78e-05,2.27e-05,5.5e-06
Mycobacteriales,,,,,,,,,,,0.00028,,0.00024,0.00033,0.00013,8.2e-05,0.000106,0.000104,9.4e-05,9.4e-05,8.56e-05,8.93e-05,8.51e-05,8.51e-05,8.43e-05
Mycoplasmatales,,,,,,,,,0.0002,,7e-05,3e-05,0.0001,2e-05,6e-05,8.7e-05,0.0001,9.4e-05,8.3e-05,8.6e-05,8.48e-05,9.53e-05,9.38e-05,9.12e-05,9.53e-05
Mycoplasmoidales,,,,,,,,,,,,,,,,,,,,,3e-07,,,,2e-07
Mycosphaerellales,,,,,,,,,,,,,,,,,,,,,1.8e-06,2e-06,1.2e-06,2.8e-06,1.6e-06
Myodocopida,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Myriangiales,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Myriapoda,,,,,,,,,,,,,2e-05,,,2.5e-05,1.4e-05,2.8e-05,3.4e-05,3.6e-05,3.3e-05,3.04e-05,4.61e-05,4.72e-05,4.73e-05
Myrmecridiales,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
Myrtales,,,,,,,,,,,,,,,,2e-06,,2e-06,2e-06,3e-06,5.2e-06,7.8e-06,4.7e-06,4e-06,4.1e-06
Mysida,,,,,,,,,,,,,,,,,,,,2e-06,9e-07,,1.2e-06,1.4e-06,1e-06
Myxococcales,,,,,,,,,0.0004,,7e-05,5e-05,,0.00013,0.0001,0.000171,0.00016,0.00016,0.000157,0.000116,0.000166,0.0001786,0.00017,0.0001804,0.0001537
Myxozoa,,,,,,,,,,,,,,,,7e-06,1.7e-05,,,9e-06,3.04e-05,1.81e-05,1.9e-05,2.89e-05,1.71e-05
Myzostomida,,,,,,,,,,,,,,,,,,9e-06,,,5.6e-06,6.7e-06,5.9e-06,6.4e-06,5.4e-06
NB1-j,,,,,,,,,,,,,,,,1.9e-05,,9e-06,3.2e-05,2.4e-05,2.85e-05,2.67e-05,2.85e-05,2.83e-05,2.88e-05
NB1-n,,,,,,,,,,,,,,,,,,,,,2.3e-06,2.4e-06,1.4e-06,1.5e-06,2.4e-06
NED5E9,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
NIF-4C10,,,,,,,,,,,,,,,,,,,,,,4e-07,,,
Nanaloricida,,,,,,,,,,,,,,,,,,,,,,,3e-07,,
Nannocystales,,,,,,,,,,,,,,,,8e-06,1.3e-05,1.4e-05,1.5e-05,1.8e-05,1.69e-05,1.81e-05,1.77e-05,1.68e-05,1.63e-05
Nanoarchaeales,,,,,,,,,,,,,,,,,,,,,5e-07,6e-07,4e-07,5e-07,4e-07
Napoli-4B-65,,,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07
Nassellaria,,,,,,,,,,,,,,,,,,,,,9e-07,4e-07,3e-07,4e-07,2e-07
Nautiliales,,,,,,,,,,,,,,,,,,,,,2.4e-06,2.2e-06,2.3e-06,2e-06,1.6e-06
Naviculales,,,,,,,,,,,,7e-05,,8e-05,,7.1e-05,0.000108,0.000172,6.3e-05,0.000165,0.000121,0.0001278,0.0001454,0.0001457,0.0001418
Neisseriales,,,,,,,,,,,,,,,,1.9e-05,9e-06,1.9e-05,1.6e-05,2.4e-05,3.35e-05,3.26e-05,3.34e-05,3.18e-05,3.52e-05
Nemastomatales,,,,,,,,,,,,,,,,,,,,,8e-07,4e-07,6e-07,2e-07,6e-07
Nemertodermatida,,,,,,,,,,,,,,,,,,,,,4e-07,2e-07,3e-07,2e-07,4e-07
Neobodonida,,,,,,,,,,,,,,,,2e-06,2e-06,,2e-06,,2.4e-06,2e-06,2.1e-06,3.5e-06,2.5e-06
Neocallimastigales,,,,,,,,,,,,,,,,,,,,,3.8e-06,3.8e-06,3.7e-06,5.5e-06,2.3e-06
Neoechinorhynchida,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,2e-07
Neogastropoda,,,,,,,,,,,,,,,,,1e-05,8e-06,,,7.4e-06,6.6e-06,6.8e-06,6.6e-06,6.6e-06
Neogregarinorida,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,2e-07,
Nephridiophaga,,,,,,,,,,,,,,,,,,,,,2e-07,,6e-07,3e-07,3e-07
Nephromycida,,,,,,,,,,,,,,,,,,,,,6e-07,1e-06,7e-07,1.1e-06,6e-07
Nephroselmidales,,,,,,,,,,,,,,,,,,,,,2e-07,1.9e-06,6e-07,1.5e-06,
Neuroptera,,,,,,,,,,,,,,,,,,,2e-06,,9e-07,2.5e-06,1.4e-06,1.9e-06,2e-06
Nevskiales,,,,,,,,,,,,,,,,7e-06,1.2e-05,5e-06,,6e-06,7.3e-06,7.9e-06,7.9e-06,7.5e-06,7.1e-06
Nicotiana sylvestris (wood tobacco) ,,,,,,,,,,,,,,,,,,,,,2e-07,3e-07,,9e-07,4e-07
Nicotiana tabacum (common tobacco) ,,,,,,,,,,,,,,,,,,,,,4e-07,,,4e-07,8e-07
Nitriliruptorales,,,,,,,,,,,,,,,,,3e-06,,,,1.9e-06,2.2e-06,2.1e-06,2.6e-06,1.5e-06
Nitrococcales,,,,,,,,,,,,,,,,8e-06,1.9e-05,2.4e-05,,1.8e-05,1.33e-05,1.38e-05,1.39e-05,1.38e-05,1.49e-05
Nitrosococcales,,,,,,,,,,,,,,,,8e-06,7e-06,6e-06,9e-06,4e-06,6.9e-06,6.1e-06,7.6e-06,6e-06,6.7e-06
Nitrosomonadales,,,,,,,,,,,0.00031,0.00037,0.0003,0.00026,0.00043,0.00031,0.00037,0.000346,0.000398,0.000329,0.0003372,0.0003362,0.0003376,0.0003376,0.0003443
Nitrosopumilales,,,,,,,,,,,,,,,,,,2e-06,2e-06,,1.6e-06,1.9e-06,1.5e-06,2e-06,1.7e-06
Nitrospinales,,,,,,,,,,,,,,,,4e-06,7e-06,4e-06,,4e-06,5.6e-06,4.7e-06,6.9e-06,5.9e-06,5.8e-06
Nitrospirales,,,,,,,,,,,8e-05,,8e-05,0.0001,0.00016,0.000147,0.000122,0.000135,0.00013,0.000131,0.000137,0.000135,0.0001369,0.0001322,0.0001357
