genus,1000_1_nr_rpm,1000_2_nr_rpm,1000_3_nr_rpm,1000_4_nr_rpm,1000_5_nr_rpm,10000_1_nr_rpm,10000_2_nr_rpm,10000_3_nr_rpm,10000_4_nr_rpm,10000_5_nr_rpm,100000_1_nr_rpm,100000_2_nr_rpm,100000_3_nr_rpm,100000_4_nr_rpm,100000_5_nr_rpm,1000000_1_nr_rpm,1000000_2_nr_rpm,1000000_3_nr_rpm,1000000_4_nr_rpm,1000000_5_nr_rpm,10000000_1_nr_rpm,10000000_2_nr_rpm,10000000_3_nr_rpm,10000000_4_nr_rpm,10000000_5_nr_rpm
Swaminathania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,1.000010000100001e-06,2.000016000128001e-06,1.0000060000360005e-06,3.000024000192002e-06,6.87578710014343e-07,0.0,6.879200231659802e-07,0.0,0.0
Swingsia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.873812388441177e-07,0.0
Sycon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,0.0,0.0,1.3758400463319607e-06,6.873812388441177e-07,0.0
Sydowia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Symbiobacterium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,2.000016000128001e-06,1.000010000100001e-06,1.0000080000640005e-06,0.0,1.0000080000640005e-06,1.375157420028686e-06,1.3750168439125092e-06,0.0,6.873812388441177e-07,6.875561041244814e-07
Symbiochloris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,0.0,0.0,1.000010000100001e-06,1.0000080000640005e-06,2.000012000072001e-06,0.0,6.87578710014343e-07,0.0,0.0,6.873812388441177e-07,3.4377805206224074e-06
Symbiodinium,0.0,0.0,0.002,0.002,0.002,0.0011,0.0004,0.0005,0.00030000000000000003,0.0005,0.0006900069000690002,0.0005,0.00046999999999999993,0.0005600000000000001,0.0005800058000580003,0.0005920047360378802,0.0006020060200602003,0.0006210049680396201,0.0006020036120215881,0.0006450051600412602,0.0006105698944926392,0.0006496954587485273,0.0005936749799922108,0.0006048954901827618,0.0006291138352738055
Symbiopectobacterium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,2.000020000200002e-06,1.0000080000640005e-06,1.0000060000360005e-06,2.000016000128001e-06,2.062736130043029e-06,2.062525265868764e-06,0.0,2.7495249553764707e-06,1.3751122082489629e-06
Symbiopsis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.375157420028686e-06,0.0,0.0,0.0,0.0
Symmachiella,0.0,0.0,0.0,0.0,0.0,0.00030000000000000003,0.00030000000000000003,0.0005,0.0001,0.0006,0.00011000110001100011,0.00021,0.00018,0.00018,0.00018000180001800006,0.00017700141601126405,0.00017400174001740016,0.0001560012480099841,0.00017000102000612003,0.00014900119200953607,0.00020077298332410763,0.00016431451284754485,0.00015753368530500953,0.00016840840351680882,0.00014919967459501248
