,taxon_id,1K_1-genus,1K_2-genus,1K_3-genus,1K_4-genus,1K_5-genus,10K_1-genus,10K_2-genus,10K_3-genus,10K_4-genus,10K_5-genus,100K_1-genus,100K_2-genus,100K_3-genus,100K_4-genus,100K_5-genus,1M_1-genus,1M_2-genus,1M_3-genus,1M_4-genus,1M_5-genus,10M_1-genus,10M_3-genus,10M_4-genus,10M_5-genus
Planktomarina,1284657.0,2.0,11.0,4.0,2.0,7.0,65.0,77.0,68.0,59.0,60.0,617.0,621.0,647.0,539.0,614.0,6267.0,6087.0,6183.0,6354.0,6344.0,62667.0,62360.0,62586.0,62640.0
Aliiglaciecola,1406885.0,2.0,0.0,1.0,0.0,1.0,8.0,8.0,5.0,4.0,6.0,57.0,60.0,76.0,56.0,71.0,571.0,612.0,568.0,566.0,589.0,5860.0,5854.0,5763.0,5801.0
Paraglaciecola,1621534.0,2.0,4.0,4.0,4.0,2.0,48.0,55.0,35.0,32.0,32.0,397.0,441.0,409.0,393.0,401.0,4054.0,4113.0,4289.0,4214.0,4152.0,41355.0,41163.0,41286.0,41283.0
Flavobacterium,237.0,1.0,4.0,1.0,2.0,3.0,25.0,16.0,19.0,16.0,20.0,240.0,206.0,199.0,207.0,240.0,2101.0,2171.0,2150.0,2148.0,2204.0,21858.0,21867.0,21988.0,21833.0
Agrobacterium,357.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,1.0,5.0,1.0,30.0,38.0,31.0,26.0,25.0,319.0,302.0,332.0,304.0
Methylobacterium,407.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,7.0,5.0,13.0,8.0,6.0,74.0,60.0,64.0,80.0,78.0,803.0,822.0,803.0,822.0
Acinetobacter,469.0,1.0,1.0,0.0,1.0,2.0,7.0,8.0,4.0,7.0,3.0,73.0,71.0,72.0,52.0,62.0,637.0,637.0,598.0,610.0,631.0,6169.0,6084.0,6210.0,6149.0
Nitrobacter,911.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,7.0,10.0,7.0,10.0,7.0,74.0,63.0,87.0,79.0
Oceanospirillum,965.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,7.0,6.0,6.0,7.0,11.0,79.0,75.0,77.0,68.0,78.0,794.0,770.0,770.0,813.0
Mycobacterium,1763.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,17.0,20.0,17.0,11.0,16.0,124.0,133.0,147.0,142.0,149.0,1408.0,1380.0,1398.0,1399.0
Desulfosarcina,2299.0,1.0,0.0,1.0,1.0,0.0,2.0,3.0,0.0,5.0,4.0,31.0,34.0,26.0,26.0,33.0,318.0,263.0,281.0,292.0,291.0,2878.0,2826.0,2879.0,2878.0
Hirschia,2723.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,13.0,14.0,14.0,11.0,11.0,122.0,110.0,123.0,121.0
Skeletonema,2842.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,24.0,27.0,32.0,26.0,23.0,259.0,254.0,222.0,252.0,214.0,2326.0,2371.0,2337.0,2407.0
Nitzschia,2857.0,1.0,0.0,1.0,1.0,2.0,9.0,5.0,8.0,8.0,8.0,100.0,93.0,99.0,87.0,98.0,954.0,1028.0,987.0,1051.0,1022.0,9883.0,9848.0,9904.0,10046.0
Chlorella,3071.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,3.0,0.0,22.0,25.0,24.0,20.0,28.0,227.0,232.0,243.0,248.0,236.0,2358.0,2401.0,2345.0,2389.0
Variovorax,34072.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,20.0,18.0,16.0,11.0,12.0,136.0,131.0,143.0,136.0,130.0,1460.0,1473.0,1441.0,1401.0
