,taxon_id,1K_1-genus,1K_2-genus,1K_3-genus,1K_4-genus,1K_5-genus,10K_1-genus,10K_2-genus,10K_3-genus,10K_4-genus,10K_5-genus,100K_1-genus,100K_2-genus,100K_3-genus,100K_4-genus,100K_5-genus,1M_1-genus,1M_2-genus,1M_3-genus,1M_4-genus,1M_5-genus,10M_1-genus,10M_3-genus,10M_4-genus,10M_5-genus
Ningiella,2751156.0,1.0,1.0,2.0,1.0,0.0,5.0,5.0,6.0,2.0,4.0,33.0,49.0,35.0,42.0,44.0,408.0,378.0,397.0,395.0,379.0,3878.0,3875.0,3906.0,3877.0
Alteripontixanthobacter,2788933.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,7.0,11.0,6.0,7.0,0.0,66.0,77.0,89.0,85.0,74.0,766.0,785.0,781.0,771.0
Pontixanthobacter,2792075.0,1.0,0.0,3.0,3.0,0.0,6.0,12.0,7.0,7.0,3.0,73.0,72.0,69.0,69.0,82.0,718.0,667.0,681.0,735.0,737.0,7096.0,7073.0,7103.0,7145.0
Novipirellula,2795426.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,25.0,17.0,20.0,19.0,22.0,198.0,202.0,195.0,188.0,198.0,1937.0,1924.0,1913.0,1896.0
Aurantiacibacter,2800681.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,7.0,3.0,5.0,38.0,54.0,48.0,42.0,44.0,484.0,467.0,475.0,479.0,449.0,4526.0,4506.0,4577.0,4550.0
Tsuneonella,2800686.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,11.0,7.0,8.0,7.0,2.0,74.0,73.0,67.0,62.0,68.0,709.0,726.0,697.0,658.0
Roseiconus,2814446.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,12.0,6.0,13.0,9.0,74.0,83.0,73.0,82.0,87.0,822.0,835.0,840.0,826.0
Acidiluteibacter,2819281.0,1.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,3.0,8.0,23.0,19.0,31.0,26.0,21.0,238.0,266.0,247.0,236.0,246.0,2447.0,2470.0,2426.0,2375.0
Antarcticimicrobium,2824145.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,4.0,32.0,27.0,30.0,38.0,34.0,332.0,330.0,335.0,340.0
Aliiruegeria,2854181.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,11.0,5.0,8.0,6.0,10.0,63.0,91.0,71.0,96.0,94.0,841.0,824.0,855.0,860.0
Pelovirga,2913513.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,7.0,4.0,6.0,11.0,54.0,63.0,63.0,69.0
Viruses,10239.0,1.0,0.0,1.0,3.0,0.0,12.0,11.0,11.0,16.0,11.0,97.0,109.0,109.0,106.0,105.0,1082.0,1068.0,1092.0,999.0,982.0,10473.0,10331.0,10449.0,10484.0
cannot be assigned to a (non-viral) genus,nan,130.0,134.0,117.0,139.0,117.0,1284.0,1264.0,1337.0,1211.0,1263.0,12854.0,12862.0,12635.0,12679.0,12853.0,126910.0,126779.0,126371.0,127298.0,126130.0,1266962.0,1268300.0,1266820.0,1269263.0
unclassified,nan,636.0,610.0,643.0,610.0,637.0,6136.0,6167.0,6131.0,6230.0,6172.0,61298.0,61450.0,61503.0,61748.0,61378.0,615235.0,615405.0,615179.0,615692.0,615905.0,6155891.0,6153848.0,6156336.0,6154557.0
Streptomyces,1883.0,0.0,3.0,0.0,1.0,0.0,1.0,3.0,4.0,1.0,3.0,27.0,28.0,26.0,23.0,26.0,262.0,234.0,264.0,239.0,259.0,2461.0,2456.0,2457.0,2454.0
Winogradskyella,286104.0,0.0,3.0,5.0,3.0,0.0,27.0,25.0,22.0,30.0,31.0,292.0,253.0,286.0,292.0,276.0,2735.0,2731.0,2734.0,2802.0,2784.0,27220.0,27054.0,27260.0,27211.0
Candidatus Puniceispirillum,767891.0,0.0,3.0,2.0,1.0,1.0,9.0,6.0,13.0,8.0,7.0,82.0,95.0,81.0,80.0,87.0,770.0,808.0,827.0,811.0,841.0,7951.0,8009.0,8017.0,8133.0
Pseudo-nitzschia,41953.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,7.0,5.0,1.0,38.0,25.0,33.0,30.0,26.0,287.0,300.0,300.0,310.0,284.0,2990.0,2976.0,3019.0,2957.0
Ruegeria,97050.0,0.0,2.0,0.0,1.0,1.0,7.0,7.0,4.0,8.0,3.0,66.0,80.0,77.0,78.0,74.0,696.0,656.0,683.0,684.0,702.0,6804.0,6929.0,6821.0,6834.0
Loktanella,245186.0,0.0,2.0,0.0,2.0,0.0,17.0,13.0,17.0,16.0,12.0,137.0,138.0,142.0,155.0,146.0,1505.0,1482.0,1465.0,1520.0,1501.0,15078.0,14927.0,14973.0,14917.0
Aestuariibacter,249523.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,1.0,27.0,34.0,35.0,34.0,37.0,305.0,295.0,305.0,340.0,297.0,3068.0,3032.0,3061.0,3088.0
Fistulifera,880756.0,0.0,2.0,0.0,0.0,3.0,8.0,13.0,12.0,11.0,17.0,109.0,95.0,75.0,81.0,82.0,878.0,905.0,871.0,866.0,855.0,8807.0,8903.0,8900.0,8928.0
Paraperlucidibaca,1268272.0,0.0,2.0,1.0,1.0,0.0,16.0,20.0,9.0,18.0,19.0,155.0,160.0,158.0,134.0,148.0,1486.0,1349.0,1432.0,1396.0,1306.0,13979.0,14011.0,13937.0,13947.0
Bernardetia,1937972.0,0.0,2.0,0.0,1.0,0.0,4.0,3.0,3.0,1.0,1.0,31.0,36.0,26.0,28.0,37.0,280.0,305.0,311.0,307.0,265.0,2997.0,2941.0,2983.0,2957.0
Hyphomonas,85.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,7.0,1.0,2.0,25.0,20.0,26.0,23.0,29.0,250.0,270.0,250.0,256.0,293.0,2674.0,2634.0,2610.0,2589.0
Bordetella,517.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,6.0,4.0,4.0,43.0,48.0,40.0,39.0,28.0,447.0,456.0,444.0,459.0
Desulfobulbus,893.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,3.0,6.0,4.0,1.0,45.0,50.0,31.0,39.0,40.0,416.0,425.0,403.0,387.0
Haliscomenobacter,2349.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,6.0,1.0,4.0,4.0,35.0,30.0,28.0,33.0,22.0,318.0,308.0,329.0,301.0
Teredinibacter,2425.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,6.0,23.0,17.0,18.0,12.0,10.0,126.0,126.0,129.0,135.0,135.0,1350.0,1396.0,1413.0,1395.0
Roseobacter,2433.0,0.0,1.0,2.0,3.0,1.0,18.0,15.0,17.0,19.0,21.0,161.0,182.0,177.0,183.0,179.0,1789.0,1797.0,1848.0,1792.0,1790.0,18241.0,18411.0,18285.0,18354.0
Phaeodactylum,2849.0,0.0,1.0,2.0,0.0,0.0,5.0,7.0,7.0,14.0,6.0,67.0,70.0,77.0,73.0,75.0,647.0,689.0,701.0,692.0,716.0,6776.0,6753.0,6727.0,6764.0
Symbiodinium,2949.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,3.0,29.0,27.0,27.0,29.0,21.0,249.0,236.0,222.0,224.0,266.0,2541.0,2494.0,2477.0,2458.0
Atractiella,5228.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,34.0,30.0,33.0,29.0
Stylonychia,5948.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,15.0,15.0,11.0,14.0,7.0,88.0,112.0,129.0,122.0,114.0,1131.0,1111.0,1121.0,1129.0
Sphingomonas,13687.0,0.0,1.0,2.0,1.0,0.0,5.0,5.0,6.0,2.0,9.0,49.0,25.0,35.0,46.0,42.0,435.0,353.0,383.0,427.0,379.0,4013.0,4015.0,3942.0,3972.0
Rhodoferax,28065.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,2.0,12.0,22.0,20.0,20.0,15.0,171.0,151.0,157.0,163.0,147.0,1534.0,1579.0,1541.0,1548.0
Rhodovulum,34008.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,18.0,12.0,17.0,12.0,14.0,171.0,186.0,185.0,175.0,199.0,1659.0,1638.0,1613.0,1600.0
Marinobacterium,48075.0,0.0,1.0,0.0,0.0,0.0,4.0,7.0,4.0,4.0,6.0,64.0,61.0,60.0,65.0,66.0,580.0,635.0,615.0,614.0,623.0,6153.0,6191.0,6095.0,6050.0
Desulfonatronum,66848.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,7.0,4.0,6.0,8.0,58.0,59.0,60.0,62.0
Rheinheimera,67575.0,0.0,1.0,1.0,1.0,0.0,5.0,7.0,9.0,2.0,8.0,79.0,45.0,72.0,70.0,56.0,598.0,653.0,597.0,638.0,646.0,6227.0,6245.0,6330.0,6425.0
Ostreococcus,70447.0,0.0,1.0,0.0,1.0,0.0,4.0,3.0,6.0,6.0,3.0,43.0,51.0,44.0,46.0,40.0,455.0,457.0,492.0,441.0,493.0,4658.0,4586.0,4556.0,4568.0
Halochromatium,85074.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,6.0,1.0,0.0,1.0,21.0,24.0,27.0,25.0,25.0,291.0,278.0,280.0,293.0
Hymenobacter,89966.0,0.0,1.0,0.0,0.0,1.0,4.0,4.0,6.0,6.0,2.0,51.0,46.0,62.0,61.0,55.0,518.0,563.0,501.0,565.0,489.0,5285.0,5345.0,5296.0,5133.0
Cellulophaga,104264.0,0.0,1.0,0.0,0.0,2.0,4.0,1.0,3.0,6.0,1.0,36.0,29.0,29.0,25.0,29.0,316.0,308.0,331.0,329.0,311.0,3143.0,3130.0,3167.0,3140.0
Aequorivita,153265.0,0.0,1.0,0.0,0.0,1.0,5.0,4.0,1.0,2.0,2.0,27.0,22.0,20.0,27.0,32.0,257.0,283.0,236.0,206.0,250.0,2503.0,2484.0,2466.0,2527.0
Oceanobacillus,182709.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,11.0,17.0,23.0,32.0,29.0,235.0,245.0,248.0,222.0
Microvirga,186650.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,6.0,6.0,41.0,70.0,48.0,67.0,65.0,565.0,560.0,551.0,573.0
Oceanisphaera,225143.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,3.0,42.0,38.0,34.0,39.0,30.0,339.0,325.0,342.0,336.0
Oceanicola,252301.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,3.0,3.0,2.0,2.0,50.0,43.0,33.0,47.0,50.0,423.0,434.0,427.0,426.0
Blastopirellula,265487.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,25.0,28.0,19.0,21.0,18.0,194.0,207.0,216.0,198.0,206.0,2093.0,2069.0,2020.0,2015.0
Curvibacter,281915.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,9.0,8.0,9.0,10.0,7.0,73.0,77.0,74.0,75.0,69.0,789.0,783.0,792.0,799.0
Leeuwenhoekiella,283735.0,0.0,1.0,0.0,0.0,1.0,3.0,4.0,5.0,5.0,7.0,55.0,47.0,42.0,56.0,51.0,489.0,493.0,469.0,408.0,473.0,4612.0,4617.0,4613.0,4611.0
Salinimonas,288793.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0,20.0,22.0,23.0,18.0,31.0,225.0,218.0,204.0,236.0,192.0,2141.0,2171.0,2114.0,2063.0
Aquimarina,290174.0,0.0,1.0,0.0,1.0,0.0,6.0,3.0,5.0,5.0,8.0,50.0,66.0,62.0,60.0,73.0,613.0,618.0,609.0,607.0,645.0,6199.0,6160.0,6181.0,6278.0
Roseivirga,290180.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,5.0,38.0,30.0,31.0,40.0,28.0,301.0,313.0,334.0,330.0,303.0,2936.0,3030.0,2944.0,3079.0
Rubellimicrobium,295418.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,6.0,5.0,5.0,50.0,48.0,48.0,42.0,44.0,504.0,473.0,484.0,476.0
Gaetbulibacter,311207.0,0.0,1.0,0.0,0.0,1.0,4.0,3.0,2.0,3.0,3.0,27.0,22.0,22.0,25.0,27.0,233.0,260.0,258.0,245.0,243.0,2426.0,2465.0,2476.0,2400.0
Pseudoruegeria,311411.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,12.0,12.0,11.0,13.0,12.0,102.0,99.0,98.0,100.0,111.0,954.0,988.0,970.0,955.0
Sedimenticola,349742.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,1.0,15.0,9.0,11.0,19.0,7.0,141.0,122.0,148.0,141.0,127.0,1317.0,1335.0,1273.0,1308.0
Sediminitomix,379074.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,4.0,0.0,16.0,30.0,22.0,38.0,20.0,244.0,265.0,263.0,254.0
Donghicola,393277.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,11.0,4.0,4.0,4.0,49.0,48.0,43.0,55.0,41.0,533.0,536.0,492.0,523.0
Undibacterium,401469.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,8.0,1.0,2.0,2.0,32.0,30.0,37.0,37.0,25.0,366.0,367.0,369.0,370.0
Celerinatantimonas,412033.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,7.0,7.0,8.0,11.0,90.0,98.0,93.0,91.0
Lentimonas,417293.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,10.0,10.0,11.0,11.0,9.0,117.0,93.0,116.0,91.0,94.0,1028.0,1038.0,998.0,1068.0
Eudoraea,446680.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,16.0,14.0,20.0,18.0,11.0,160.0,170.0,152.0,151.0,176.0,1641.0,1682.0,1681.0,1665.0
Seohaeicola,481178.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,5.0,7.0,16.0,22.0,13.0,129.0,108.0,120.0,97.0,125.0,1151.0,1140.0,1181.0,1174.0
Thalassobaculum,526215.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,7.0,9.0,7.0,11.0,11.0,88.0,85.0,87.0,80.0,100.0,944.0,893.0,920.0,944.0
Psammoneis,568902.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,3.0,6.0,4.0,8.0,3.0,45.0,39.0,50.0,39.0,32.0,370.0,374.0,363.0,380.0
Kriegella,574892.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,8.0,4.0,2.0,5.0,50.0,48.0,67.0,62.0,61.0,556.0,564.0,549.0,566.0
Spongiibacter,630749.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,14.0,14.0,11.0,13.0,13.0,136.0,114.0,120.0,104.0,121.0,1282.0,1269.0,1236.0,1251.0
Aliagarivorans,882379.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,13.0,11.0,10.0,10.0,12.0,138.0,121.0,120.0,119.0
Arenicella,904708.0,0.0,1.0,0.0,1.0,0.0,8.0,9.0,6.0,8.0,3.0,63.0,80.0,70.0,64.0,63.0,670.0,635.0,687.0,665.0,669.0,6853.0,6849.0,6941.0,6872.0
Rubricoccus,907202.0,0.0,1.0,0.0,2.0,1.0,6.0,4.0,1.0,4.0,1.0,25.0,28.0,25.0,30.0,32.0,263.0,303.0,302.0,309.0,289.0,2895.0,2879.0,2928.0,2888.0
Phormidesmis,1005722.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,2.0,4.0,3.0,45.0,44.0,55.0,38.0,36.0,445.0,431.0,440.0,437.0
Primorskyibacter,1068904.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,9.0,10.0,6.0,10.0,95.0,96.0,119.0,103.0,93.0,971.0,982.0,979.0,947.0
Defluviimonas,1097466.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,5.0,2.0,2.0,2.0,36.0,42.0,53.0,48.0,48.0,468.0,456.0,460.0,478.0
Mangrovimonas,1211036.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,1.0,23.0,22.0,18.0,17.0,18.0,186.0,151.0,189.0,199.0,193.0,1825.0,1838.0,1828.0,1788.0
Portibacter,1227556.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,13.0,28.0,16.0,16.0,14.0,162.0,136.0,152.0,143.0,148.0,1560.0,1552.0,1495.0,1506.0
Ferrovibrio,1231242.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,8.0,5.0,11.0,9.0,63.0,83.0,66.0,66.0
Halamphora,1242273.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,2.0,0.0,2.0,11.0,14.0,19.0,25.0,20.0,191.0,193.0,182.0,202.0,186.0,1908.0,1929.0,1911.0,1874.0
Algimonas,1246884.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0,6.0,6.0,8.0,8.0,59.0,53.0,57.0,50.0,56.0,625.0,622.0,605.0,621.0
Luminiphilus,1341118.0,0.0,1.0,2.0,0.0,0.0,6.0,1.0,3.0,3.0,1.0,20.0,29.0,20.0,27.0,21.0,272.0,264.0,257.0,255.0,266.0,2657.0,2674.0,2672.0,2709.0
Draconibacterium,1471399.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,8.0,4.0,5.0,2.0,9.0,42.0,59.0,62.0,60.0,56.0,508.0,490.0,504.0,492.0
Methyloceanibacter,1484898.0,0.0,1.0,0.0,1.0,0.0,6.0,5.0,9.0,3.0,6.0,52.0,41.0,53.0,48.0,57.0,504.0,537.0,536.0,515.0,502.0,4917.0,4954.0,5039.0,4984.0
Emcibacter,1602338.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,19.0,12.0,16.0,11.0,20.0,160.0,170.0,164.0,164.0
Rubinisphaera,1649490.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,6.0,4.0,6.0,3.0,11.0,98.0,93.0,88.0,83.0,102.0,911.0,918.0,905.0,911.0
Marinirhabdus,1862153.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,4.0,6.0,12.0,5.0,10.0,93.0,87.0,78.0,87.0,69.0,789.0,805.0,794.0,754.0
Marimonas,1914026.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,3.0,7.0,3.0,3.0,25.0,19.0,29.0,18.0,33.0,244.0,272.0,262.0,287.0
Saonia,2029851.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,6.0,32.0,23.0,32.0,42.0,28.0,287.0,291.0,302.0,278.0
Rhodosalinus,2047740.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,2.0,0.0,17.0,22.0,30.0,26.0,18.0,228.0,218.0,212.0,241.0
Arcticibacterium,2173039.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,5.0,1.0,0.0,7.0,11.0,11.0,11.0,7.0,100.0,86.0,99.0,99.0,81.0,913.0,905.0,885.0,898.0
Maribellus,2678352.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,8.0,5.0,5.0,6.0,7.0,64.0,76.0,63.0,59.0,70.0,695.0,698.0,698.0,702.0
Tautonia,2680020.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,2.0,4.0,18.0,36.0,31.0,30.0,21.0,266.0,261.0,281.0,255.0
Aurantibacter,2715929.0,0.0,1.0,0.0,0.0,1.0,2.0,10.0,5.0,6.0,4.0,65.0,76.0,74.0,88.0,75.0,727.0,812.0,803.0,797.0,836.0,7876.0,7799.0,7737.0,7888.0
Profundibacter,2778525.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,1.0,16.0,16.0,24.0,15.0,19.0,163.0,169.0,163.0,185.0
Aequoribacter,2847769.0,0.0,1.0,1.0,0.0,0.0,7.0,7.0,3.0,6.0,6.0,51.0,51.0,56.0,55.0,48.0,546.0,527.0,547.0,522.0,507.0,5416.0,5408.0,5394.0,5285.0
Pseudoteredinibacter,1122284.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,1.0,6.0,3.0,1.0,31.0,27.0,33.0,19.0,33.0,292.0,331.0,303.0,293.0
Pirellula,123.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,13.0,11.0,2.0,5.0,6.0,50.0,50.0,41.0,36.0,49.0,465.0,461.0,503.0,482.0
Bradyrhizobium,374.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,2.0,0.0,4.0,16.0,23.0,32.0,19.0,15.0,196.0,210.0,199.0,233.0,184.0,1926.0,1922.0,1919.0,1959.0
Desulfuromonas,890.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0,0.0,6.0,27.0,20.0,20.0,17.0,13.0,212.0,229.0,220.0,229.0,238.0,2317.0,2331.0,2308.0,2310.0
Nitrosomonas,914.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,19.0,22.0,11.0,15.0,23.0,176.0,173.0,176.0,199.0,195.0,1844.0,1845.0,1798.0,1811.0
Marinobacter,2742.0,0.0,0.0,1.0,1.0,0.0,4.0,5.0,7.0,5.0,8.0,64.0,60.0,55.0,58.0,60.0,624.0,604.0,623.0,629.0,590.0,5912.0,5949.0,5966.0,5910.0
Porphyra,2784.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,3.0,5.0,7.0,36.0,38.0,34.0,38.0
Arcobacter,28196.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,1.0,6.0,30.0,31.0,37.0,27.0,38.0,302.0,298.0,292.0,291.0
Geobacter,28231.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,3.0,3.0,3.0,4.0,5.0,34.0,27.0,43.0,33.0,34.0,321.0,316.0,341.0,339.0
Thiomonas,32012.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,6.0,6.0,3.0,37.0,35.0,24.0,29.0,29.0,300.0,298.0,293.0,316.0
Bathycoccus,41874.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,6.0,4.0,7.0,38.0,32.0,52.0,47.0,51.0,495.0,511.0,446.0,470.0,512.0,4899.0,4838.0,4806.0,4868.0
Jonesia,43673.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,7.0,6.0,5.0
Ferrimonas,44011.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,7.0,5.0,10.0,4.0,10.0,64.0,62.0,67.0,78.0,77.0,714.0,695.0,713.0,716.0
Paenibacillus,44249.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,5.0,19.0,14.0,13.0,6.0,122.0,128.0,122.0,111.0,111.0,1204.0,1168.0,1168.0,1154.0
Psychroserpens,49277.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,2.0,6.0,8.0,63.0,52.0,66.0,59.0,45.0,538.0,555.0,554.0,520.0,559.0,5358.0,5407.0,5432.0,5387.0
Galdieria,83373.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,3.0,2.0,4.0,3.0,48.0,43.0,49.0,53.0
Pedobacter,84567.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,1.0,4.0,4.0,30.0,24.0,29.0,23.0,19.0,215.0,224.0,227.0,251.0,215.0,2351.0,2361.0,2284.0,2349.0
Muricauda,111500.0,0.0,0.0,1.0,0.0,1.0,8.0,3.0,6.0,5.0,3.0,53.0,58.0,57.0,46.0,51.0,555.0,545.0,522.0,580.0,567.0,5418.0,5403.0,5445.0,5497.0
Bacteriovorax,146784.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,8.0,5.0,2.0,4.0,9.0,58.0,65.0,59.0,71.0,57.0,648.0,671.0,653.0,662.0
Roseibium,150830.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,17.0,14.0,21.0,11.0,12.0,173.0,167.0,159.0,177.0,141.0,1641.0,1634.0,1647.0,1611.0
Reichenbachiella,156993.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,7.0,6.0,13.0,6.0,8.0,78.0,81.0,80.0,92.0,74.0,891.0,892.0,862.0,890.0
Hahella,158481.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,8.0,7.0,10.0,4.0,3.0,71.0,80.0,64.0,82.0,91.0,825.0,835.0,806.0,790.0
Sphingopyxis,165697.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,2.0,5.0,23.0,30.0,18.0,25.0,29.0,242.0,264.0,257.0,244.0,265.0,2582.0,2561.0,2615.0,2533.0
Fomitiporia,167346.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,3.0,2.0
Fragilariopsis,186035.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,3.0,25.0,31.0,38.0,24.0,19.0,290.0,280.0,264.0,242.0,319.0,2826.0,2838.0,2842.0,2833.0
Thalassolituus,187492.0,0.0,0.0,1.0,0.0,1.0,3.0,7.0,4.0,7.0,12.0,62.0,77.0,71.0,74.0,73.0,757.0,779.0,778.0,757.0,817.0,7612.0,7599.0,7717.0,7686.0
Jannaschia,188905.0,0.0,0.0,1.0,1.0,1.0,8.0,3.0,6.0,6.0,7.0,56.0,47.0,64.0,62.0,43.0,566.0,538.0,574.0,555.0,512.0,5576.0,5638.0,5615.0,5669.0
