Species,ocean_combined_1000_1,ocean_combined_1000_2,ocean_combined_1000_3,ocean_combined_1000_4,ocean_combined_1000_5,ocean_combined_10000_1,ocean_combined_10000_2,ocean_combined_10000_3,ocean_combined_10000_4,ocean_combined_10000_5,ocean_combined_100000_1,ocean_combined_100000_2,ocean_combined_100000_3,ocean_combined_100000_4,ocean_combined_100000_5,ocean_combined_1000000_1,ocean_combined_1000000_2,ocean_combined_1000000_3,ocean_combined_1000000_4,ocean_combined_1000000_5,ocean_combined_10000000_1,ocean_combined_10000000_2,ocean_combined_10000000_3,ocean_combined_10000000_4,ocean_combined_10000000_5
uncultured Ktedonobacter sp.  ,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
uncultured Lachnospiraceae bacterium ,,,,,,,,,,,,,,,,,,,,,1.5e-06,2.2e-06,7e-07,2e-07,2e-07
uncultured Lachnospiraceae bacterium  ,,,,,,,,,,,,,,,,,,,,,,,,3e-07,
uncultured Lactobacillaceae bacterium  ,,,,,,,,,,,,,,,,2e-06,,,2e-06,,2.2e-06,2.1e-06,5.3e-06,1.6e-06,2.6e-06
uncultured Lactobacillales bacterium  ,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,,
uncultured Lactobacillus sp.  ,,,,,,,,,,,,,,,,2e-06,,,,,4.6e-06,4.8e-06,5.2e-06,3.7e-06,1.5e-06
uncultured Lactococcus sp.  ,,,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07
uncultured Latescibacteria,,,,,,,,,,,,,,,,,,,,,1.5e-06,1.8e-06,1.5e-06,1.8e-06,1.6e-06
uncultured Latescibacterota bacterium,,,,,,,,,,,,,,,,,,,,,7e-07,,,,1.2e-06
uncultured Leclercia sp.  ,,,,,,,,,,,,,,,,,,,,,,4e-07,,,
uncultured Leeuwenhoekiella sp.  ,,,,,,,,,,,,9e-05,,,,2.6e-05,2.6e-05,3.4e-05,2.7e-05,3.8e-05,3.01e-05,3.22e-05,3.04e-05,2.96e-05,3.33e-05
uncultured Legionellales bacterium  ,,,,,,,,,,,,,,,,,,,,,3e-07,3e-07,2e-07,3e-07,4e-07
uncultured Lentisphaerae,,,,,,,,,,,,,,,,,,,,,2.1e-06,2.2e-06,2.3e-06,2.1e-06,2.3e-06
uncultured Lentisphaerae bacterium  ,,,,,,,,,,,,,,,,,,,,,1.5e-06,1.4e-06,1.7e-06,1.4e-06,1.3e-06
uncultured Leptolyngbya sp.  ,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,1e-06,1.3e-06,
uncultured Leptospiraceae bacterium  ,,,,,,,,,,,,,,,,,,,,,3e-07,,3e-07,3e-07,
uncultured Leptospirillum sp.  ,,,,,,,,,,,,,,,,7e-06,,3e-06,,,3.3e-06,3.7e-06,3.5e-06,4e-06,3.1e-06
uncultured Leptothrix sp.  ,,,,,,,,,,,,2e-05,,,,9e-06,2.4e-05,2.7e-05,4.3e-05,4.6e-05,2.24e-05,2.21e-05,2.79e-05,2.5e-05,2.18e-05
uncultured Leucobacter sp.  ,,,,,,,,,,,,,,,,,,,,,4e-07,3e-07,3e-07,,5e-07
uncultured Luteibacter sp.  ,,,,,,,,,,,,,,,,,,,,,3e-07,3e-07,4e-07,4e-07,4e-07
uncultured Lutibacter,,,,,,,,,,,,,,,,,,,,,4.8e-06,5.7e-06,5.5e-06,5e-06,5.6e-06
uncultured Lutibacter sp.  ,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
uncultured Lyngbya sp.  ,,,,,,,,,,,,,,,,,,,,,4e-07,2e-07,,2e-07,3e-07
uncultured Lysinibacillus sp.  ,,,,,,,,,,,,,,,,,,,,,,5e-07,2e-07,4e-07,
uncultured Lysobacter sp.  ,,,,,,,,,,,,,,,,,,,,,1.1e-06,8e-07,1.1e-06,8e-07,1e-06
uncultured Mamiellophyceae,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
uncultured Marinimicrobium sp.  ,,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07
uncultured Marinobacter sp.  ,,,,,,,,,,,,,,,,,,,,,7.9e-06,9e-07,1.03e-05,8.1e-06,8e-07
uncultured Marinobacterium sp.  ,,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,
uncultured Marinomonas sp.  ,,,,,,,,,,,0.00014,0.00015,0.00012,0.00012,0.00011,0.000105,0.000116,0.000118,0.000108,0.000117,9.78e-05,9.99e-05,9.87e-05,9.48e-05,0.0001003
uncultured Massilia sp.  ,,,,,,,,,,,,,,,,4e-06,,,,,1.1e-06,1.1e-06,9e-07,1.2e-06,1.4e-06
uncultured Merismopedia,,,,,,,,,,,,,,,,,,,,,6e-07,7e-07,8e-07,7e-07,7e-07
uncultured Mesorhizobium sp.  ,,,,,,,,,,,,,,,,,,,,,2.4e-06,2.4e-06,2.1e-06,2e-06,2.4e-06
uncultured Methanobacteriales archaeon  ,,,,,,,,,,,,,,,,,,4e-06,,,1.05e-05,4.6e-06,1.01e-05,3.6e-06,3.9e-06
uncultured Methanobacterium sp.  ,,,,,,,,,,,,,,,,,2e-06,,,,5e-07,7e-07,1e-06,9e-07,7e-07
uncultured Methanobrevibacter sp.  ,,,,,,,,,,,,,,,,,,5e-06,,2e-06,3.5e-06,4.4e-06,3.4e-06,3.4e-06,3.9e-06
uncultured Methanocella sp.  ,,,,,,,,,,,,,,,,,,,,,4e-07,4e-07,4e-07,6e-07,5e-07
uncultured Methanococcoides sp.  ,,,,,,,,,,,,,,,,,,,,,3e-07,5e-07,,2e-07,
uncultured Methanoculleus sp.  ,,,,,,,,,,,,,,,,,,,,,2e-07,3e-07,3e-07,,
uncultured Methanogenium sp.  ,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
uncultured Methanohalophilus sp.  ,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
uncultured Methanolinea sp.  ,,,,,,,,,,,,,,,,,,,,,,8e-07,7e-07,4e-07,
uncultured Methanolobus sp.  ,,,,,,,,,,,,,,,,,,,,,1.3e-06,2.1e-06,2.2e-06,2.1e-06,1.6e-06
uncultured Methanomassiliicoccales archaeon,,,,,,,0.0004,,0.0009,0.0014,0.00061,0.00071,0.00062,0.00066,0.00055,0.000566,0.00058,0.000588,0.00057,0.000604,0.0005888,0.000592,0.0005932,0.0005887,0.0006002
uncultured Methanomicrobia,,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07
uncultured Methanomicrobia archaeon,,,,,,,,,,,,,,,,,,,,,4e-07,4e-07,3e-07,,4e-07
uncultured Methanomicrobia archaeon  ,,,,,,,,,,,,,,,,,,,6e-06,2e-06,1.8e-06,2e-06,2.1e-06,2.5e-06,1.7e-06
uncultured Methanomicrobiales archaeon,,,,,,,,,,,,,,,,,,,,,,8e-07,3e-07,3e-07,5e-07
uncultured Methanomicrobiales archaeon  ,,,,,,,,,,,,,,,,,,,1.6e-05,,9.7e-06,1.06e-05,8.9e-06,9.3e-06,1.18e-05
uncultured Methanonatronarchaeia archaeon,,,,,,,,,,,,,,,,,,,,,6e-07,5e-07,5e-07,6e-07,7e-07
uncultured Methanoplanus sp.  ,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,
uncultured Methanosaeta sp.  ,,,,,,,,,,,,,,,,1e-05,1.1e-05,,4e-06,,1.06e-05,1.05e-05,1.05e-05,1e-05,9.8e-06
uncultured Methanosaetaceae archaeon  ,,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07
uncultured Methanosarcina sp.  ,,,,,,,,,,,,,,,,,,2e-06,,2e-06,3.4e-06,2.6e-06,1.5e-06,3.2e-06,2.5e-06
uncultured Methanosarcinaceae archaeon  ,,,,,,,,,,,,,,,,,,,,,3e-07,,3e-07,,
uncultured Methanosarcinales archaeon  ,,,,,,,,,,,,,,,,,,,2e-06,,2.7e-06,9e-07,2e-06,1.7e-06,2.1e-06
uncultured Methanosphaera sp.  ,,,,,,,,,,,,,,,,,,,,,4e-07,6e-07,7e-07,8e-07,6e-07
uncultured Methanospirillaceae archaeon  ,,,,,,,,,,,,,,,,,,,,,2e-07,,3e-07,3e-07,3e-07
uncultured Methanospirillum sp.  ,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,2e-07,2e-07
uncultured Methanothermobacter sp.  ,,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,2e-07
uncultured Methylobacillus sp. ,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07,
uncultured Methylobacillus sp.  ,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,
uncultured Methylobacter sp.  ,,,,,,,,,,,,,,,,,,,,,3e-07,,,2e-07,
uncultured Methylobacterium sp.  ,,,,,,,,,,,,,,,,2e-06,8e-06,7e-06,8e-06,,5.2e-06,5.8e-06,5.5e-06,4.9e-06,5e-06
uncultured Methylocaldum sp.  ,,,,,,,,,,,,,,,,,,,,,5e-07,,,,
uncultured Methylococcaceae bacterium  ,,,,,,,,,,,,,,,,0.000145,0.000139,,0.000145,,,,,,
uncultured Methylococcales bacterium  ,,,,,,,,,,,,,,,,,,,,,,,1.1e-06,,
uncultured Methylocystaceae bacterium  ,,,,,,,,,,,,,0.00016,,,6.1e-05,5.8e-05,4.9e-05,4.4e-05,4.1e-05,2.83e-05,2.58e-05,2.84e-05,3.02e-05,2.98e-05
uncultured Methylotenera sp.  ,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
uncultured Microbacteriaceae bacterium  ,,,,,,,,,,,,,,,,,,,,,6e-07,,4e-07,5e-07,3e-07
uncultured Microbacterium sp.  ,,,,,,,,,,,,,,,,,,,,,,,2e-07,,4e-07
uncultured Micrococcineae bacterium ,0.005,,,,,0.0017,0.0012,0.0013,0.001,0.0019,0.00088,0.00075,0.00078,0.00087,0.0008,0.000548,0.000571,0.000558,0.000538,0.000562,0.000558,0.0005591,0.0005533,0.0005581,0.0005523
uncultured Micrococcus sp.  ,,,,,,,,,,,,,,6e-05,,,,,2.5e-05,,,3.21e-05,2.01e-05,,2.01e-05
uncultured Microgenomates group bacterium,,,,,,,,,,,,,,,,2e-06,4e-06,6e-06,3e-06,2e-06,5.6e-06,3.5e-06,5.2e-06,4.1e-06,4.7e-06
uncultured Micromonas,,,,,,,,,,,,,,,,,,,,,,4e-07,,4e-07,2e-07
uncultured Micromonospora sp.  ,,,,,,,,,,,,,,,,,,,,,1.4e-06,1e-06,1.2e-06,1.2e-06,1e-06
uncultured Microthoracida,,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,2e-07
uncultured Mollicutes bacterium,,,,,,,,,,,,,,,,,,,,,,2e-07,,4e-07,2e-07
uncultured Morganella sp.  ,,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07
uncultured Mucilaginibacter sp.  ,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,2e-07,2e-07,
uncultured Mycobacteriaceae bacterium  ,,,,,,,,,,,,,,,,,,,,,7e-07,7e-07,9e-07,6e-07,5e-07
uncultured Mycobacterium sp.  ,,,,,,,,,,,,,,,,,,,,,7e-07,8e-07,8e-07,,1e-06
uncultured Mycoplasma sp.  ,,,,,,,,,,,,,,,,,,,,,7e-07,9e-07,9e-07,4e-07,6e-07
uncultured Mycoplasmataceae,,,,,,,,,,,,,,,,,2e-06,,2e-06,,7e-07,9e-07,8e-07,1e-06,1e-06
uncultured Myxococcales,,,,,,,,,,,,,,,,,,,,,7e-07,8e-07,7e-07,6e-07,
uncultured Myxococcales bacterium  ,,,,,,,,,,,,,,,,,,2e-06,,,8e-07,,2e-07,,
uncultured Neisseria sp.  ,,,,,,,,,,,,,,,,,,,,,4e-07,4e-07,6e-07,2e-07,4e-07
uncultured Neisseriaceae bacterium  ,,,,,,,,,,,,,,,,,,,,,6e-07,3e-07,4e-07,,7e-07
uncultured Niastella sp.  ,,,,,,,,,,,,,,,,,,,,,4e-07,3e-07,,,
uncultured Nitrosomonas sp.  ,,,,,,,,,,,,,,,,,,,,,4e-07,4e-07,7e-07,8e-07,8e-07
uncultured Nitrososphaerota archaeon,,,,,,,,,,,,,,,,,,,,,,6e-07,9e-07,1.1e-06,6e-07
uncultured Nitrospira sp.  ,,,,,,,,,,,,,,,,2e-06,3e-06,,,,9e-07,8e-07,8e-07,1.2e-06,9e-07
uncultured Nitrospiraceae bacterium  ,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
uncultured Nitrospirae bacterium  ,,,,,,,,,,,8e-05,,5e-05,0.0001,6e-05,4e-05,4.4e-05,3.9e-05,4.6e-05,4.3e-05,3.92e-05,3.97e-05,4.06e-05,3.76e-05,3.7e-05
uncultured Nitrospirales bacterium  ,,,,,,,,,,,,,,,,,,,,,2e-07,5e-07,3e-07,3e-07,3e-07
uncultured Nocardia sp.  ,,,,,,,,,,,,,,,,,,,,,4e-07,,,,
uncultured Nostoc sp.  ,,,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07
uncultured Nostocales cyanobacterium  ,,,,,,,,,,,,,,,,,,,,,,3e-07,5e-07,3e-07,4e-07
uncultured Nostocoida sp. ,,,,,,,,,,,,,,,,,,,,2e-06,1e-06,9e-07,7e-07,6e-07,1e-06
uncultured Novosphingobium sp.  ,,,0.002,,,,,,0.0003,0.0004,0.00025,0.00021,0.0002,0.00025,0.00023,0.00022,0.000218,0.000204,0.00024,0.000229,0.0002186,0.0002203,0.0002138,0.000217,0.0002182
uncultured OM43 clade bacterium,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
uncultured Oceanibaculum,,,,,,,,,,,,,,,,,,,,,2.6e-06,2.9e-06,2.9e-06,3.3e-06,2.9e-06
uncultured Oceanicola sp.  ,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07,
uncultured Oceanimonas sp.  ,,,,,,,,,,,,,,,,,,,,,3e-07,9e-07,9e-07,1e-06,1.2e-06
uncultured Oceanobacter sp.  ,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
uncultured Ochrobactrum sp.  ,,,,,,,,,,,,,,,,,2e-06,,,,2.2e-06,2.3e-06,1.9e-06,1.8e-06,2.2e-06
uncultured Ohtaekwangia sp.  ,,,,,,,,,,,,,,,,2.2e-05,,,1e-05,,2.74e-05,2.52e-05,2.99e-05,3.01e-05,2.96e-05
uncultured Oleispira sp.  ,,,,,,,,,,,,,,,,4.1e-05,,,8e-06,,2.1e-06,,8e-06,,1.8e-05
uncultured Olsenella sp.  ,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
uncultured Omnitrophica,,,,,,,,,,,,,,,,,4e-06,4e-06,,5e-06,1.3e-06,1.1e-06,1.4e-06,1.3e-06,1.3e-06
uncultured Oophila,,,,,,,,,,,,,,,,,,2e-06,,,6e-07,6e-07,4e-07,8e-07,7e-07
uncultured Oscillatoriales cyanobacterium  ,,,,,,,,,,,,,,,,,,,,,,,3e-07,,2e-07
uncultured Owenweeksia sp.  ,,,,,,,,,,,,,,,,,3e-06,,,,2.3e-06,1.9e-06,2.4e-06,1.6e-06,8e-07
uncultured Oxalobacteraceae bacterium  ,,,,,,,,,,,,,,,,,,,,,6e-07,1.1e-06,3e-07,5e-07,5e-07
uncultured Oxytrichidae   ,,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,3e-07
uncultured Paenibacillus sp.  ,,,,,,,,,,,,,,,,,2e-06,,,,1.2e-06,1.9e-06,1.9e-06,1.8e-06,1.3e-06
uncultured Pantoea sp.  ,,,,,,,,,,,,,,,,,,,,,3e-07,4e-07,5e-07,4e-07,3e-07
uncultured Parabacteroides sp.  ,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
uncultured Parabasalia sp.,,,,,,,,,,,,,,,,,,,,,3e-07,2e-07,,,
uncultured Paracoccus sp.  ,,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,
uncultured Parcubacteria group bacterium,,,,,,,,,,,2e-05,,,,,1e-05,6e-06,8e-06,9e-06,8e-06,5.9e-06,7.2e-06,8.9e-06,6e-06,8.1e-06
uncultured Parvibaculum sp.  ,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
uncultured Pedobacter sp.  ,,,,,,,,,,,,,,,,,,,,,2.5e-06,1.4e-06,2.5e-06,2.1e-06,2e-06
uncultured Peptococcaceae bacterium  ,,,,,,,,,,,,,,,,,,,,,,,,,4e-07
uncultured Peredibacter,,,,,,,,,0.0007,,0.00013,0.00019,0.00011,0.00014,0.00016,0.000102,0.000104,9.9e-05,8.2e-05,0.000104,8.33e-05,7.99e-05,7.84e-05,8.07e-05,7.97e-05
uncultured Peredibacter sp.  ,,,,,,,,,,,,,,,,8e-06,1e-05,9e-06,1.3e-05,1e-05,8.4e-06,8.1e-06,9.6e-06,8.5e-06,1e-05
uncultured Persephonella sp.  ,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
uncultured Phacus,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
uncultured Phenylobacterium sp.  ,,,,,,,,,,,,,,,,2e-06,,,,2e-06,1.3e-06,8.1e-06,6e-07,1.1e-06,1e-06
uncultured Phormidium sp.  ,,,,,,,,,,,,,,,,,,,,,4e-07,3e-07,4e-07,9e-07,3e-07
uncultured Phycisphaeraceae,,,,,,,,,,,,,,,,,,,,,6e-07,,,7e-07,
uncultured Phycisphaeraceae bacterium  ,,,,,,,,,,,,,,,,,,,5e-06,,2.13e-05,1.64e-05,1.57e-05,1.5e-06,1.49e-05
uncultured Phycisphaerae bacterium,,,,,,,,,,,,,,,,,,,,,3e-07,,2e-07,2e-07,3e-07
uncultured Pietermaritzburg bacterium Y14-1 ,,,,,,,,,,,,,,,,,3e-06,,,3e-06,2.1e-06,2e-06,2e-06,2.3e-06,1.5e-06
uncultured Pirellula sp.  ,,,,,,,,,,,,,,,,,,,,,3e-07,3e-07,4e-07,2e-07,
uncultured Planctomyces,,,,,,,,,,,,3e-05,,,,6e-06,1.2e-05,1.3e-05,1.1e-05,1.3e-05,1.3e-05,1.21e-05,9.3e-06,1.13e-05,1.09e-05
uncultured Planctomyces sp.,,,,,,,,,,,,,,,,9e-06,7e-06,1.6e-05,1.1e-05,1e-05,8.6e-06,9.9e-06,9.3e-06,8.2e-06,9.9e-06
uncultured Planctomyces sp.  ,,,,,,,,,,,,,,,,,,,2e-06,2e-06,6e-07,3e-07,6e-07,6e-07,8e-07
uncultured Planctomycetaceae,,,,,,,,,,,,,,5e-05,,2.2e-05,1.6e-05,1.7e-05,1.3e-05,1.3e-05,2.03e-05,2.15e-05,2.12e-05,1.99e-05,1.82e-05
uncultured Planctomycetaceae bacterium,,,,,,,,,,,,,,,,5e-06,6e-06,1.8e-05,,2e-06,8.8e-06,7.5e-06,7.9e-06,9.4e-06,1.01e-05
uncultured Planctomycetaceae bacterium  ,,,,,,,,,,,,,,,,,3e-06,,,4e-06,2e-06,1.8e-06,3.4e-06,3e-06,2.5e-06
uncultured Planctomycetales,,,,,,,,,,,,3e-05,,,,2e-05,1e-05,8e-06,1.3e-05,,1.28e-05,1.24e-05,1.4e-05,1.41e-05,1.35e-05
uncultured Planctomycetales bacterium,,,,,,,,,,,,,,,,5e-06,5e-06,1.3e-05,,6e-06,1.11e-05,7.8e-06,1.12e-05,1.03e-05,9e-06
uncultured Planctomycetales bacterium ,,,,,,,,,,,,,,,,,,,,,1.9e-06,2e-06,1.6e-06,2.3e-06,1.6e-06
uncultured Planctomycetales bacterium  ,,,,,,,,,,,,,,,,,2e-06,,,8e-06,8.4e-06,9.5e-06,7e-06,6.5e-06,9.6e-06
uncultured Planctomycetia bacterium  ,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
uncultured Planctomycetota bacterium,,,,,,,,,,,,6e-05,2e-05,,,7.1e-05,8.6e-05,6.8e-05,7.1e-05,7.7e-05,8.01e-05,7.67e-05,7.7e-05,7.77e-05,8.09e-05
uncultured Planococcus sp.  ,,,,,,,,,,,,,,,,,,,,,4e-07,,2.7e-06,1.7e-06,2.3e-06
uncultured Pleosporaceae,,,,,,,,,,,0.00011,0.00013,0.00014,0.00012,6e-05,7.4e-05,9.1e-05,0.000102,0.000101,8.6e-05,7.81e-05,7.73e-05,7.84e-05,7.8e-05,7.53e-05
uncultured Polaribacter sp. ,,,,,,,,,,,,,,,,,3e-06,2e-06,,2e-06,1.83e-05,1e-06,9e-07,1e-06,1.25e-05
uncultured Polaribacter sp.  ,,,,,,,,,,,,,,,,,,,,,2.8e-06,2.6e-06,3e-06,2.3e-06,2.5e-06
uncultured Polyangiaceae bacterium  ,,,,,,,,,,,,,,,,,,,,,,,,2e-07,3e-07
uncultured Porphyromonadaceae bacterium,,,,,,,,,,,,,,,,,,,,,7e-07,6e-07,8e-07,8e-07,6e-07
uncultured Porphyromonadaceae bacterium  ,,,,,,,,,,,,,,,,,,,,,4e-07,4e-07,,4e-07,4e-07
uncultured Prevotella sp. ,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,2e-07,,
uncultured Prevotellaceae bacterium ,,,,,,,,,,,,,,,,,,,,,1.1e-06,6e-07,1.6e-06,1.9e-06,1.5e-06
uncultured Prochlorococcus sp.,,,,,,,,,,,,,,,,,1.8e-05,,1.7e-05,2e-05,8.4e-06,8.7e-06,9.1e-06,7.9e-06,7.9e-06
uncultured Prolixibacter,,,,,,,,,,,,,,,,6e-06,,6e-06,,8e-06,4.7e-06,5.2e-06,5e-06,5e-06,4.4e-06
uncultured Prolixibacter sp.,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,2e-07,2e-07
uncultured Propionibacterium sp.  ,,,,,,,,,,,,,,,,,,,,,,8e-07,6e-07,8e-07,4e-07
uncultured Propioniferax sp.  ,,,,,,,,,,,,,,,,,,,,,,3e-07,,,
uncultured Prosthecobacter sp.,,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07
uncultured Prosthecobacter sp.  ,,,,,,,,,,,,,,,,,,,,,5e-07,5e-07,6e-07,6e-07,
uncultured Providencia sp.  ,,,,,,,,,,,,,,,,,,,,,3e-07,2e-07,,,
uncultured Pseudoalteromonas sp.  ,,,,,,0.004,0.0031,,0.0025,,0.00239,0.00236,0.00202,0.00267,0.00252,0.002239,0.002283,0.002208,0.002399,0.00225,0.0023295,0.0023271,0.0023249,0.0023116,0.0023363
uncultured Pseudofulvimonas sp.  ,,,,,,,,,,,,,,,,,,,,,5e-07,2e-07,,,3e-07
uncultured Pseudomonadota bacterium,,,,,,0.0004,,,,,0.00026,0.00016,0.0002,0.00018,0.00024,0.000193,0.000184,0.000154,0.000199,0.000179,0.0001844,0.0001837,0.0001878,0.0001847,0.0001906
uncultured Pseudomonas sp.  ,,,,,,,,,,,,,,,,4.8e-05,,5.7e-05,6e-06,3.4e-05,5.45e-05,5.63e-05,6.6e-05,8.17e-05,5.56e-05
uncultured Pseudonocardiaceae bacterium,,,,,,,,,,,0.00011,0.00038,0.00021,0.00029,0.0002,8.2e-05,7.9e-05,8.4e-05,7.8e-05,9.6e-05,7.92e-05,8.07e-05,7.76e-05,7.7e-05,7.52e-05
uncultured Pseudoruegeria sp.  ,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,,
uncultured Psychrobacter sp.  ,,,,,,,,,,,,,,,,,,,2e-06,,2.6e-06,1.6e-06,2.2e-06,1.5e-06,2.9e-06
uncultured Psychroserpens sp.  ,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
uncultured Puniceicoccaceae bacterium ,,,,,,,,,,,,,,,,,,,,,2e-07,,,,4e-07
uncultured Puniceicoccaceae bacterium  ,,,,,,,,,,,,,,,,,1.3e-05,,,,5.1e-06,4.4e-06,4.5e-06,4.9e-06,5.1e-06
uncultured Pyrobaculum sp.  ,,,,,,,,,,,,,,,,,,,,,4e-07,,,,
uncultured Ralstonia sp.  ,,,,,,,,,,,,,,,,,,,,,,8e-07,,8e-07,6e-07
uncultured Ramlibacter sp.  ,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,2e-07,
uncultured Rheinheimera sp.  ,,,,,,,,,,,,,,,,,,,,,4e-07,,2e-07,,4e-07
uncultured Rhizaria,,,,,,,,,,,,,,,,2.3e-05,2.8e-05,3.7e-05,3.1e-05,2.8e-05,5.15e-05,6e-05,6.01e-05,5.99e-05,4.73e-05
uncultured Rhizaria ,,,,,,,,,,,,,,,,,,,,,2.2e-06,3.4e-06,3.8e-06,,1.68e-05
uncultured Rhizaria   ,,,,,,,,,,,,,,,,2e-06,7.1e-05,5e-06,5e-06,2e-06,3.66e-05,4.15e-05,3.83e-05,3.22e-05,2.74e-05
uncultured Rhizobacter sp.  ,,,,,,,,,,,,,,,,,,,,,2e-07,,,,2e-07
uncultured Rhizobiales,,,,,,,,,,,,,,,,,,,,,1.1e-06,,7e-07,,7e-07
uncultured Rhizobiales bacterium  ,,,,,,,,,,,,,,,,,,,,,2e-06,1.7e-06,5e-07,2.2e-06,2.1e-06
uncultured Rhodobacteraceae,,,,,,,,,,,,,,,,,1e-05,1e-05,,,6.5e-06,5.7e-06,6.6e-06,6e-06,5.5e-06
uncultured Rhodobacteraceae bacterium  ,,,,,,,,,,,,,,,,3e-06,4e-06,,2e-06,3e-06,5.6e-06,3.2e-06,4e-06,4.4e-06,4.5e-06
uncultured Rhodocyclaceae bacterium  ,,,,,,,,,,,,,,,,6.6e-05,7.9e-05,,6e-05,6.3e-05,7.31e-05,6.73e-05,6.78e-05,7.35e-05,1.12e-05
uncultured Rhodocyclus sp.  ,,,,,,,,,,,,,,,,,,,,,,,7e-07,,
uncultured Rhodopila sp.  ,,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,2e-07
uncultured Rhodopseudomonas sp.  ,,,,,,,,,,,,,,,,,,,,,,,7e-07,,
uncultured Rhodospirillaceae,,,,,,,,,,,,,,,,3.8e-05,4.7e-05,4e-05,5.3e-05,5.3e-05,3.99e-05,3.72e-05,4.16e-05,4.2e-05,4.12e-05
uncultured Rhodospirillaceae bacterium  ,,,,,,,,,,,,,,,,,,,,,3e-07,,,3e-07,
uncultured Rhodospirillales,,,,,,,,,,,9e-05,0.00013,0.0001,,,0.000122,0.000123,9.3e-05,8.9e-05,8.7e-05,0.0001024,0.0001028,0.0001015,0.0001071,0.0001036
uncultured Rhodospirillales bacterium,,,,,,,,,,,,,,,,,,,,,1.2e-06,8e-07,1.5e-06,9e-07,1.1e-06
uncultured Rhodospirillales bacterium  ,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
uncultured Rhodothermaceae,,,,,,,,,,,,,,,,,,,,,1.1e-06,1.6e-06,1.2e-06,1.7e-06,1.1e-06
uncultured Rhynchomesostominae sp. ,,,,,,,,,,,,,,,,,,,,,1e-06,1.5e-06,1.6e-06,1.2e-06,1.2e-06
uncultured Rickettsia sp.,,,,,,,,,,,,,,,,,,,,,1.3e-06,2.1e-06,5e-07,9e-07,2.5e-06
uncultured Rickettsia sp.  ,0.004,,,,,0.0011,0.001,0.0005,0.0009,0.0009,0.00086,0.0008,0.00078,0.00065,0.00074,0.000665,0.000633,0.000634,0.000661,0.000648,0.0006656,0.0006747,0.0006595,0.000663,0.0006743
uncultured Rickettsiales,,,,,,,0.0002,,,,0.00011,8e-05,6e-05,0.00015,0.00019,0.000112,0.000111,0.000127,0.000119,0.000122,0.0001239,0.0001256,0.0001239,0.0001221,0.0001234
uncultured Rickettsiales bacterium,,,,,,,,,,,,,,,,,,,,3e-06,8e-07,8e-07,7e-07,1.1e-06,8e-07
uncultured Rikenellaceae bacterium,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
uncultured Roseobacter sp.  ,,,,,,,,,,,,,,,,6e-06,,8e-06,,5e-06,4.2e-06,6.1e-06,6e-06,6.7e-06,5.4e-06
uncultured Roseomonas sp.  ,,,,,,,,,,,,,,,,,,,,,4e-07,3e-07,3e-07,,
