family,1000_1_nt_rpm,1000_2_nt_rpm,1000_3_nt_rpm,1000_4_nt_rpm,1000_5_nt_rpm,10000_1_nt_rpm,10000_2_nt_rpm,10000_3_nt_rpm,10000_4_nt_rpm,10000_5_nt_rpm,100000_1_nt_rpm,100000_2_nt_rpm,100000_3_nt_rpm,100000_4_nt_rpm,100000_5_nt_rpm,1000000_1_nt_rpm,1000000_2_nt_rpm,1000000_3_nt_rpm,1000000_4_nt_rpm,1000000_5_nt_rpm,10000000_1_nt_rpm,10000000_2_nt_rpm,10000000_3_nt_rpm,10000000_4_nt_rpm,10000000_5_nt_rpm
Bellerocheaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.000064000512004e-06,2.000020000200002e-06,0.0,1.0000060000360005e-06,0.0,0.0,0.0,0.0,2.7495249553764707e-06,0.0
Belostomatidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Berberidaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,0.0,0.0,0.0,0.0,0.0
Berkeleyaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,3.000030000300003e-05,5e-05,6.000000000000001e-05,6.000000000000001e-05,8.000080000800009e-05,3.900031200249602e-05,3.700037000370004e-05,2.9000232001856017e-05,3.3000198001188005e-05,5.1000408003264034e-05,4.675535228097532e-05,3.987548847346277e-05,4.746648159845265e-05,3.368168070336176e-05,3.7128029622722e-05
Bernardetiaceae,0.0,0.001,0.001,0.0,0.002,0.0005,0.0005,0.0004,0.0002,0.0003,0.000860008600086,0.00084,0.00083,0.00059,0.000870008700087,0.0007990063920511,0.0008260082600826,0.0007850062800502,0.0007940047640285,0.0007060056480451,0.0007865900442564,0.0008236350895035,0.0007697825059227,0.0007540572190119,0.0008560073496349
Berothidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.875561041244814e-07
Betulaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,1e-05,0.0,5.000040000320003e-06,9.000090000900008e-06,1.0000080000640006e-05,1.0000060000360002e-05,7.000056000448003e-06,6.87578710014343e-06,9.625117907387565e-06,7.567120254825783e-06,4.8116686719088236e-06,1.0313341561867224e-05
Beutenbergiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.000024000192002e-06,5.000050000500005e-06,4.000032000256002e-06,7.000042000252001e-06,1.0000080000640005e-06,2.062736130043029e-06,3.437542109781273e-06,2.751680092663921e-06,5.4990499107529405e-06,6.188004937120334e-06
Bianqueaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bibionidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.000040000400004e-05,0.0,1e-05,1e-05,0.0,9.000072000576005e-06,1.2000120001200012e-05,1.2000096000768006e-05,1.000006000036e-05,1.900015200121601e-05,1.100125936022949e-05,1.1000134751300077e-05,9.630880324323725e-06,7.561193627285293e-06,1.0313341561867222e-05
Biddulphiaceae,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0001,0.0,0.0002,2.000020000200002e-05,0.00015000000000000001,2e-05,0.00012,3.0000300003000036e-05,6.500052000416002e-05,3.300033000330003e-05,2.4000192001536012e-05,6.300037800226802e-05,5.200041600332802e-05,5.844419035121916e-05,4.53755558491128e-05,4.4714801505788726e-05,3.5056443181049995e-05,2.8189800269103742e-05
Biecheleriaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,0.0,2.000016000128001e-06,4.000040000400004e-06,4.000032000256002e-06,1.000006000036e-05,2.000016000128001e-06,5.500629680114745e-06,1.3750168439125092e-06,3.3020161111967055e-05,4.8116686719088236e-06,2.0626683123734445e-06
Bifidobacteriaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,2.000020000200002e-05,1e-05,2e-05,1e-05,4.000040000400004e-05,1.800014400115201e-05,1.7000170001700017e-05,2.2000176001408014e-05,2.6000156000936014e-05,2.6000208001664014e-05,2.337767614048766e-05,2.26877779245564e-05,2.2701360764477352e-05,1.787191220994706e-05,2.0626683123734445e-05
Bignoniaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.873812388441177e-07,0.0
Bionectriaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-05,0.0,0.0,0.0,0.0,6.000048000384003e-06,2.000020000200002e-06,6.000048000384003e-06,2.000012000072001e-06,6.000048000384002e-06,1.375157420028686e-06,6.187575797606291e-06,4.127520138995882e-06,6.186431149597058e-06,6.188004937120334e-06
Blaberidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blasiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,0.0,0.0,1.0000060000360005e-06,0.0,0.0,0.0,0.0,0.0,0.0
Blastobasidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,2.000020000200002e-05,2.000016000128001e-06,1.000010000100001e-06,1.0000080000640005e-06,1.000006000036e-05,8.000064000512004e-06,2.750314840057372e-06,2.7500336878250184e-06,2.063760069497941e-06,2.062143716532353e-06,2.750224416497926e-06
Blastocatellaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
