phylum,1000_1_nr_rpm,1000_2_nr_rpm,1000_3_nr_rpm,1000_4_nr_rpm,1000_5_nr_rpm,10000_1_nr_rpm,10000_2_nr_rpm,10000_3_nr_rpm,10000_4_nr_rpm,10000_5_nr_rpm,100000_1_nr_rpm,100000_2_nr_rpm,100000_3_nr_rpm,100000_4_nr_rpm,100000_5_nr_rpm,1000000_1_nr_rpm,1000000_2_nr_rpm,1000000_3_nr_rpm,1000000_4_nr_rpm,1000000_5_nr_rpm,10000000_1_nr_rpm,10000000_2_nr_rpm,10000000_3_nr_rpm,10000000_4_nr_rpm,10000000_5_nr_rpm
Candidatus Amesbacteria,,,,,,,,,0.00012484394506866417,,,,,2.3951522119230678e-05,,,,1.1663453385259595e-06,1.1689330329955326e-06,,,,7.991158582145145e-07,7.990354044597774e-07,
Candidatus Aminicenantota,,,,,,,0.0007316180953542252,0.00012221950623319484,0.00012484394506866417,,0.00018388437350593944,0.00013031168184995202,0.0002359134818346619,9.580608847692271e-05,0.0001898298649835085,0.00020653996548324752,0.00019042500993013853,0.00015862296603942307,0.00015663702642135918,0.00023448874454018039,0.00018299665411790572,0.0001652416239658557,0.00018379664738931776,0.00016300322250977745,0.00017599927370428312
Candidatus Anderseniibacteriota,,,,,,,,,,,,,,,,2.3337849207156123e-06,5.841257973317138e-06,1.1663453385259595e-06,1.1689330329955326e-06,1.1666106693545962e-06,2.3973360801478686e-06,7.98268714811358e-07,3.196463432858059e-06,1.5980708089195548e-06,1.5927536081842886e-06
Candidatus Auribacterota,,,,,,,,,,,1.2258958233729307e-05,4.738606612725528e-05,,2.3951522119230678e-05,1.1864366561469292e-05,1.1668924603578062e-05,4.67300637865371e-06,9.330762708207676e-06,1.8702928527928514e-05,1.1666106693545962e-05,1.2785792427455299e-05,1.1974030722170368e-05,1.1986737873217717e-05,1.1186495662436884e-05,1.831666649411932e-05
Candidatus Azambacteria,,,,,,,,,,,,,,,,7.001354762146838e-06,7.009509567980566e-06,6.9980720311557565e-06,8.182531230968727e-06,1.1666106693545962e-06,6.392896213727649e-06,2.394806144434074e-06,4.794695149287088e-06,5.593247831218442e-06,6.371014432737156e-06
Candidatus Bathyarchaeota,,,,,0.0024213075060532684,,,0.00012221950623319484,,,0.00019614333173966874,0.00015400471491357968,0.0001365814894832253,0.00014370913271538407,0.0003203378971596707,0.00011902303095649623,0.00014252669454893805,0.0001376287499460072,0.00015663702642132647,0.0001329936163064239,0.00012306325211425723,0.0001253281882253832,0.00013105500074706765,0.00011905627526450682,0.00010989999896471593
Candidatus Beckwithbacteria,,,,,,,,0.00012221950623319484,,,,,1.2416499043929574e-05,,,3.5006773810734185e-06,2.336503189326855e-06,6.998072031155758e-06,5.844665164977663e-06,4.666442677418385e-06,5.593784187011693e-06,2.394806144434074e-06,7.991158582145145e-07,1.5980708089195544e-06,3.1855072163685772e-06
Candidatus Berkelbacteria,,,,,,,,,,,,,,,,4.667569841431225e-06,4.67300637865371e-06,5.831726692629798e-06,7.013598197973194e-06,9.33288535483677e-06,9.589344320591476e-06,1.197403072217037e-05,9.589390298574175e-06,7.990354044597774e-06,4.778260824552866e-06
Candidatus Binatota,,,,,,,,,,,3.677687470118793e-05,1.184651653181382e-05,3.724949713178872e-05,3.592728317884602e-05,5.932183280734646e-05,4.900948333502786e-05,3.972055421855655e-05,1.8661525416415355e-05,4.325052222083469e-05,3.616493074999248e-05,4.395116146937759e-05,3.352728602207703e-05,4.3951372201798306e-05,3.755466400960953e-05,3.1855072163685766e-05
Candidatus Bipolaricaulota,,,,,,,,,,,1.2258958233729307e-05,2.369303306362764e-05,2.483299808785915e-05,3.592728317884602e-05,2.3728733122938585e-05,4.667569841431224e-05,3.0374541461249126e-05,3.0324978801674948e-05,3.0392258857883838e-05,2.5665434725801116e-05,1.9977800667898903e-05,1.8360180440661233e-05,3.755844533608219e-05,2.4770097538253097e-05,3.663333298823864e-05
Candidatus Blackallbacteria,,,,,,,0.0002438726984514084,0.00012221950623319484,,,4.903583293491723e-05,2.369303306362764e-05,,,1.1864366561469292e-05,2.100406428644051e-05,3.0374541461249116e-05,3.848939617135666e-05,2.9223325824888308e-05,3.499832008063789e-05,2.397336080147869e-05,2.2351524014718024e-05,2.876817089572253e-05,1.8377814302574877e-05,1.831666649411932e-05
Candidatus Blackburniibacteriota,,,,,,,,,,,,,,,,,,2.332690677051919e-06,1.1689330329955326e-06,,7.991120267159561e-07,1.596537429622716e-06,1.598231716429029e-06,1.5980708089195544e-06,
Candidatus Borrarchaeota,,,,,,,,,,,,,,,,,,,,,7.991120267159561e-07,1.596537429622716e-06,,7.990354044597774e-07,7.963768040921443e-07
Candidatus Brenneribacteriota,,,,,,,,,,,,,,,,,,4.665381354103838e-06,,,,,,,
Candidatus Brockarchaeota,,,,,,,,,,,,,,,,1.1668924603578062e-06,2.336503189326855e-06,1.1663453385259595e-06,1.1689330329955326e-06,1.1666106693545962e-06,7.991120267159561e-07,1.596537429622716e-06,,7.990354044597774e-07,
Candidatus Buchananiibacteriota,,,,,,,,,,,,2.369303306362764e-05,,,,4.667569841431225e-06,4.67300637865371e-06,1.1663453385259595e-06,1.1689330329955326e-06,2.3332213387091924e-06,3.1964481068638243e-06,2.394806144434074e-06,7.991158582145145e-07,,1.5927536081842886e-06
Candidatus Calescamantes,,,,,,,,,,,,,,1.1975761059615339e-05,,4.667569841431225e-06,2.336503189326855e-06,1.1663453385259595e-06,3.506799098986597e-06,3.4998320080637884e-06,4.794672160295737e-06,3.193074859245432e-06,2.3973475746435438e-06,3.995177022298887e-06,1.592753608184289e-06
Candidatus Campbellbacteria,,,,,,0.0002450079627587897,0.0001219363492257042,,,,,,2.483299808785915e-05,,,4.667569841431225e-06,4.67300637865371e-06,9.330762708207676e-06,1.1689330329955322e-05,4.666442677418385e-06,9.589344320591476e-06,5.587881003679506e-06,1.0388506156788692e-05,8.78938944905755e-06,8.760144845013588e-06
Candidatus Cerribacteria,,,,,,,,,,,,,,,,,,,,,,,1.5982317164290292e-06,7.990354044597774e-07,
