,1K,10K,100K,1M,10M
Immundisolibacterales,,,,1.6431676725154984e-06,3.3665016461206934e-07
Phototrophicales,,,1.7320508075688774e-05,1.5811388300841896e-06,1.0688779163215985e-06
Candidatus Cryosericales,,,,5.47722557505166e-07,1.5000000000000002e-07
Stephanodiscales,,7.071067811865475e-05,1.9493588689617925e-05,4.56070170039655e-06,1.7153716798408462e-06
Syntrophales,,,2.8284271247461902e-05,4.242640687119285e-06,3.265986323710928e-07
Ectocarpales,,,1.5165750888103101e-05,3.781534080237808e-06,1.980530232033836e-06
Brachyspirales,,9.999999999999999e-05,1.3038404810405296e-05,5.9999999999999985e-06,2.0800641015763575e-06
Diversisporales,,,2.8809720581775867e-05,2.1679483388678795e-06,6.020797289396148e-07
Parachlamydiales,,7.071067811865475e-05,1.1401754250991384e-05,5.338539126015653e-06,1.2553220038433688e-06
Spirochaetales,,,1.1401754250991384e-05,7.5166481891864535e-06,1.737814719698277e-06
Ceramiales,,,1.1547005383792516e-05,3.0822070014844882e-06,4.966554808583779e-07
Tribonematales,,,2.5884358211089566e-05,9.555103348473001e-06,1.344123010243731e-06
Peronosporales,,7.071067811865475e-05,1.2247448713915892e-05,5.549774770204642e-06,1.2175795661885919e-06
Saccharomycetales,,,1.9235384061671346e-05,3.4641016151377517e-06,2.099206199177841e-06
Sordariales,,,5e-06,3.1144823004794877e-06,3.095695936834452e-07
Hymenostomatida,,,1.4142135623730951e-05,9.257429448826494e-06,8.286535263104035e-07
Chlamydiales,,5.773502691896258e-05,9.999999999999999e-06,5.504543577809154e-06,7.702813338860886e-07
Boletales,,,7.0710678118654756e-06,2.3021728866442675e-06,2.9439202887759493e-07
Zoopagales,,,,1.673320053068151e-06,5.1234753829798e-07
Thermodesulfobacteriales,,,1.1547005383792516e-05,1.516575088810311e-06,1.0344080432788592e-06
Fusobacteriales,,,1.6733200530681514e-05,1.6733200530681507e-06,2.886751345948113e-07
Syntrophobacterales,,,3.563705936241092e-05,3.2403703492039306e-06,7.04154339142589e-07
Mortierellales,,7.071067811865475e-05,9.574271077563381e-06,6.0415229867972865e-06,1.0045728777279762e-06
Parvularculales,,,2.6076809620810588e-05,1.2621410380777583e-05,1.8209429791548505e-06
Stylonematales,,,,1.0000000000000002e-06,2.0615528128088308e-07
Hemiaulales,,,2.4494897427831785e-05,5.2153619241621175e-06,1.479864858694876e-06
Russulales,,,7.0710678118654756e-06,3.4641016151377547e-06,4.787135538781689e-07
Caldilineales,,,2.1213203435596428e-05,1.6733200530681497e-06,1.314977819838293e-06
Cryptomonadales,,,8.94427190999916e-06,4.277849927241487e-06,1.357387196049823e-06
Candidatus Brocadiales,,,2.387467277262664e-05,5.93295878967653e-06,1.3098982148752377e-06
Archaeosporales,,,1.9235384061671346e-05,4.868264577855234e-06,5.97215762238964e-07
Magnetococcales,,,8.16496580927726e-06,3.4205262752974143e-06,5.90903263374527e-07
Ardenticatenales,,,1.2583057392117917e-05,3.962322551231789e-06,1.1615363389350614e-06
Leptospirales,,,1.3038404810405297e-05,6.3796551630946315e-06,1.3674794331177336e-06
Spirulinales,,,1.4832396974191323e-05,5.9329587896765296e-06,1.053169818531974e-06
Calditrichales,,,1.6431676725154984e-05,5.504543577809156e-06,8.301606270274853e-07
