order,1000_1_nt_rpm,1000_2_nt_rpm,1000_3_nt_rpm,1000_4_nt_rpm,1000_5_nt_rpm,10000_1_nt_rpm,10000_2_nt_rpm,10000_3_nt_rpm,10000_4_nt_rpm,10000_5_nt_rpm,100000_1_nt_rpm,100000_2_nt_rpm,100000_3_nt_rpm,100000_4_nt_rpm,100000_5_nt_rpm,1000000_1_nt_rpm,1000000_2_nt_rpm,1000000_3_nt_rpm,1000000_4_nt_rpm,1000000_5_nt_rpm,10000000_1_nt_rpm,10000000_2_nt_rpm,10000000_3_nt_rpm,10000000_4_nt_rpm,10000000_5_nt_rpm
Entomoplasmatales,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,1.000010000100001e-05,2e-05,0.0,0.0,1.000010000100001e-05,1.1000088000704005e-05,1.4000140001400013e-05,1.6000128001024008e-05,1.8000108000648007e-05,1.700013600108801e-05,9.626101940200802e-06,1.4437676861081346e-05,1.1006720370655686e-05,1.3060243538038235e-05,1.2376009874240666e-05
Entrophosporales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Entwisleiales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-06,0.0,0.0,0.0,0.0,6.875084219562546e-07,0.0,0.0,0.0
Entylomatales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,1.000010000100001e-05,0.0,0.0,0.0,1.000010000100001e-05,4.000032000256002e-06,5.000050000500004e-06,3.000024000192002e-06,4.000024000144001e-06,0.0,4.125472260086058e-06,3.437542109781273e-06,2.063760069497941e-06,3.436906194220588e-06,4.125336624746889e-06
Ephedrales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ephemeroptera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000020000200002e-05,0.0,3.0000000000000004e-05,1e-05,1.000010000100001e-05,1.400011200089601e-05,6.000060000600006e-06,1.4000112000896006e-05,1.1000066000396005e-05,1.0000080000640006e-05,1.1688838070243832e-05,8.93760948543131e-06,8.255040277991764e-06,1.0310718582661762e-05,6.188004937120334e-06
Equisetales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000016000128001e-06,0.0,0.0,0.0,1.0000080000640005e-06,0.0,0.0,0.0,6.873812388441177e-07,6.875561041244814e-07
Eremomycetales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-06,2.000016000128001e-06,0.0,1.0000080000640005e-06,0.0,6.875084219562546e-07,1.3758400463319607e-06,0.0,6.875561041244814e-07
Ericales,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,4.000040000400004e-05,2e-05,3.0000000000000004e-05,3.0000000000000004e-05,2.000020000200002e-05,1.700013600108801e-05,1.1000110001100012e-05,1.900015200121601e-05,1.5000090000540005e-05,9.000072000576005e-06,1.5126731620315546e-05,1.3750168439125094e-05,1.4446320486485586e-05,1.1685481060350001e-05,1.1688453770116186e-05
Erysipelotrichales,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,3.000030000300003e-05,0.0,1e-05,2e-05,2.000020000200002e-05,2.9000232001856017e-05,1.9000190001900018e-05,2.300018400147201e-05,2.400014400086401e-05,2.300018400147201e-05,1.3751574200286859e-05,2.1312761080643893e-05,2.132552071814539e-05,1.9246674687635294e-05,1.8564014811361e-05
Erysiphales,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000020000200002e-06,1.0000080000640005e-06,0.0,1.0000080000640005e-06,2.750314840057372e-06,0.0,6.879200231659802e-07,2.062143716532353e-06,6.875561041244814e-07
Erythropeltidales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000020000200002e-05,1.0000080000640005e-06,2.000020000200002e-06,7.000056000448003e-06,1.0000060000360005e-06,2.000016000128001e-06,3.4378935500717147e-06,2.062525265868764e-06,3.4396001158299015e-06,7.561193627285295e-06,1.3751122082489629e-06
Euamoebida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eubacteriales,0.001,0.0,0.001,0.0,0.0,0.0004,0.00030000000000000003,0.0004,0.0,0.00030000000000000003,0.00033000330003300033,0.00025,0.00023,0.0002,0.00033000330003300033,0.00028600228801830413,0.00022900229002290021,0.00024500196001568013,0.00022200133200799208,0.0002670021360170881,0.00029359610917612444,0.0002530030992799017,0.00023182904780693538,0.00025295629589463527,0.00026539665619204985
Eubodonida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,0.0,1.0000080000640005e-06,1.0000060000360005e-06,0.0,0.0,0.0,6.879200231659802e-07,6.873812388441177e-07,6.875561041244814e-07
