# Constructed from biom file
#OTU ID	Ocean-lake-1a	Ocean-lake-1b	Ocean-lake-2a	Ocean-lake-2b	Ocean-lake-3a	Ocean-lake-3b	Ocean-lake-4a	Ocean-lake-4b
3d4028354245891607ff9fa5f2672dd0	0.0	0.0	0.0	0.0	131.0	171.0	421.0	517.0
2395388649e148e485d91691f96a40ad	0.0	0.0	0.0	0.0	150.0	203.0	363.0	522.0
aded8c2b36e9aef098620936415159e5	0.0	0.0	0.0	0.0	106.0	195.0	410.0	503.0
0b543c0c40978c7fc40c3c1c3776b91f	0.0	0.0	0.0	0.0	117.0	159.0	461.0	469.0
726847c7fa00c6b6d2967e79d1e9bef7	0.0	0.0	0.0	0.0	191.0	230.0	341.0	425.0
cac17f9d04f37f6530cdf3d8577f35f7	311.0	246.0	312.0	308.0	0.0	0.0	0.0	0.0
51f83732c981b84db35fef1e254fbcc0	0.0	0.0	0.0	0.0	104.0	212.0	377.0	461.0
9c7cbfdec9ab9111530b3e293a65f5ba	0.0	0.0	0.0	0.0	0.0	0.0	558.0	588.0
ab94a9797484003f2b4cdeca338c2ea5	0.0	0.0	0.0	0.0	103.0	152.0	364.0	512.0
00dc9c25731707a054b1e7ec6de5fdb4	0.0	0.0	0.0	0.0	120.0	219.0	376.0	387.0
e4b0e84a8adc341edc92edfe98736607	366.0	346.0	103.0	258.0	0.0	0.0	7.0	16.0
9df31dbb29f4f36d17f8160b041e291c	248.0	220.0	283.0	344.0	0.0	0.0	0.0	0.0
2347494ad514d3dd65dfc64724e87c65	0.0	0.0	0.0	0.0	114.0	205.0	325.0	444.0
5faf214dda0d81dd738fdf6093db3e99	159.0	196.0	359.0	357.0	0.0	0.0	0.0	0.0
8c2c8ce06b318a3a1bcc8f8848682b6f	0.0	0.0	0.0	0.0	139.0	217.0	320.0	395.0
d15aadc43756db07e4d08c26c22b17d4	0.0	0.0	0.0	0.0	39.0	92.0	408.0	519.0
a794e157cf7e361563464eb9b52a7879	323.0	312.0	165.0	233.0	0.0	0.0	0.0	0.0
72ab9830f8cc2515d73f4d5ffb48491b	235.0	314.0	275.0	206.0	0.0	0.0	0.0	0.0
a22f7f13083056f4c8b52d45ac4d2e25	0.0	0.0	0.0	0.0	123.0	146.0	400.0	358.0
86173b8d443453958f73aa7bbedab236	225.0	243.0	281.0	240.0	0.0	0.0	0.0	0.0
04f7aca8d9fe66a93ce7a999d99e1b1f	235.0	206.0	295.0	243.0	0.0	0.0	0.0	0.0
09876c0e077c52556b6d2901fd2cf46e	0.0	0.0	0.0	0.0	106.0	142.0	306.0	425.0
99e7d6aa29edda081eddeb3b2e06f3e2	229.0	222.0	168.0	229.0	0.0	0.0	46.0	82.0
95cb6db7810c7f942b099fc370041a08	0.0	0.0	0.0	0.0	128.0	191.0	263.0	387.0
cc10ece26c54a14f92cbffbca355907b	0.0	0.0	0.0	0.0	107.0	166.0	330.0	362.0
a909b738a5c3258bae5f5e042731bf6b	0.0	0.0	0.0	0.0	71.0	120.0	331.0	427.0
9c9e5e54672f1a6138df7abb9e93875d	0.0	0.0	0.0	0.0	148.0	150.0	271.0	372.0
3bdbc0aa2e4a36f0a4cd614286221e40	0.0	0.0	0.0	0.0	68.0	111.0	356.0	387.0
f4b9ad8ce139b2653821f4abad12c3f3	0.0	0.0	0.0	0.0	0.0	0.0	376.0	540.0
235f64c23d0105e6ed1088c1e0bf6574	291.0	274.0	105.0	217.0	0.0	0.0	0.0	0.0
22222825e70bc42170e3e9d213e94ddf	182.0	147.0	213.0	344.0	0.0	0.0	0.0	0.0
49c55ecba1cb9195a85f8c7030ef3baf	0.0	0.0	0.0	0.0	3.0	3.0	392.0	467.0
c296125dd721a933e13cf066d872c672	0.0	0.0	0.0	0.0	43.0	63.0	344.0	414.0
dc2ad16fa81e92f323471c8f494bdbad	219.0	217.0	188.0	237.0	0.0	0.0	0.0	0.0
9b077f6526cca320cbf5d6c83011de3f	0.0	0.0	0.0	0.0	159.0	215.0	179.0	251.0
60a22df06e0f68feda0a0e9c46a7730e	0.0	0.0	0.0	0.0	146.0	341.0	139.0	172.0
fdb2cd6620bc9f878fecefb4e6df3e7e	0.0	0.0	0.0	0.0	158.0	254.0	193.0	173.0
d24423a739a11aa3bf3d98b2fbc51071	177.0	139.0	270.0	191.0	0.0	0.0	0.0	0.0
734ff95dad32c77e4446d9de5136aeda	185.0	213.0	187.0	185.0	0.0	0.0	0.0	0.0
c993f070797f0fe9db9a3debf4797806	175.0	195.0	124.0	274.0	0.0	0.0	0.0	0.0
6944d7fb7815e31542f3848504c27f78	113.0	119.0	83.0	0.0	37.0	75.0	156.0	178.0
1200e49e98770d71bd81004e0ed950da	0.0	0.0	0.0	0.0	95.0	127.0	240.0	285.0
53fd7a7af21f46acf0cf14c981e9b503	0.0	0.0	0.0	0.0	115.0	231.0	175.0	220.0
647591d4f18dffc0c4862f4ca5fd7024	0.0	0.0	0.0	0.0	147.0	281.0	140.0	171.0
56d853e8fe3407811e24cf56fccabb7d	0.0	0.0	0.0	0.0	77.0	99.0	300.0	257.0
7565b5ab479e79fb48b7c2f984c89f40	210.0	191.0	132.0	199.0	0.0	0.0	0.0	0.0
de7ba69fe8a21a3d5764b8a05704d926	221.0	195.0	156.0	158.0	0.0	0.0	0.0	0.0
fb85370d2ee1191d117480b24ec4df13	0.0	0.0	0.0	0.0	203.0	308.0	119.0	97.0
8251c28c76e6c62e2d8d92db35606c1f	0.0	0.0	0.0	0.0	104.0	158.0	210.0	253.0
