# Constructed from biom file
#OTU ID	OL-PAMA-1a	OL-PAMA-1b	OL-PAMA-2a	OL-PAMA-2b	OL-PAMA-3a	OL-PAMA-3b	OL-PAMA-4a	OL-PAMA-4b
91f986086f07b0dfdf2393e83cbdbf94	1443.0	1357.0	2096.0	3170.0	0.0	0.0	0.0	0.0
d21bcd6e61dca4cb2e0ca851b24e17c1	0.0	0.0	0.0	0.0	240.0	3649.0	1356.0	2659.0
57424555f0646bf8aec8ea0b9557cf49	1404.0	1294.0	1907.0	3246.0	0.0	0.0	0.0	0.0
aecf2b661c11a2b3accb3a6c18c39da4	0.0	0.0	0.0	0.0	1344.0	2586.0	1887.0	1869.0
bec66fa1962ff3b98b5dea67903e55cb	1682.0	3346.0	1197.0	1299.0	0.0	0.0	0.0	0.0
da6c3064bfe4af4a3a339f6070a82467	789.0	3079.0	609.0	3037.0	0.0	0.0	0.0	0.0
76b7f111085e43b7e37f396875809f60	0.0	0.0	1849.0	5663.0	0.0	0.0	0.0	0.0
12b60028cf981959c4d113e9c5efd096	0.0	0.0	0.0	0.0	1326.0	2566.0	1833.0	1724.0
6fb35ab357b936272d15ad398656618d	1628.0	3261.0	1200.0	1311.0	0.0	0.0	0.0	0.0
101941f0c958f60410f9d436945863e1	0.0	0.0	1794.0	5413.0	0.0	0.0	0.0	0.0
f3fc074dd8822c3aa8b1ff400a1af38e	823.0	2706.0	599.0	3068.0	0.0	0.0	0.0	0.0
61a4aa6e20218d620ad117daf196d166	71.0	87.0	272.0	411.0	721.0	2299.0	1585.0	1608.0
1b5b53a1a23d7974e30be24cc1a0e453	759.0	2382.0	2672.0	1118.0	0.0	0.0	0.0	0.0
9e47f9dcda1e682bf9e3b3204d489d2e	0.0	0.0	0.0	0.0	936.0	599.0	364.0	5032.0
6cc0e1285791a8f29443a516999015dd	86.0	49.0	271.0	463.0	734.0	2315.0	1705.0	1243.0
92635795e48695d2da5bdabf23125d56	798.0	2135.0	2777.0	1141.0	0.0	0.0	0.0	0.0
13131d34365910d6c552d20e497e365e	0.0	0.0	0.0	0.0	1152.0	1916.0	1075.0	2279.0
85e86889bf8bd37818183edbe28b3299	1047.0	895.0	1054.0	1209.0	497.0	233.0	553.0	809.0
efa87520e6fa26147ed248fc2b6b88f9	1159.0	846.0	1000.0	1130.0	451.0	284.0	596.0	829.0
b3f8e19832cebd466b6261e54f20bc5c	0.0	0.0	0.0	0.0	2117.0	1376.0	1353.0	1412.0
19dd7c43289cdf4f55178db2d2193e14	0.0	0.0	0.0	0.0	863.0	554.0	382.0	4311.0
a81f1a80575de2acbe88743dd8177aef	1580.0	2476.0	451.0	1593.0	0.0	0.0	0.0	0.0
fd49915f5cbc56ce92d6b1d3e6c27c6c	0.0	0.0	0.0	0.0	1092.0	1907.0	1153.0	1838.0
da8d7a69975bd0adca051e107e315f7e	3728.0	1399.0	712.0	0.0	6.0	94.0	32.0	0.0
e5205d503c3b846eeda2c15ced0d3d30	0.0	0.0	0.0	0.0	365.0	1266.0	473.0	3867.0
6a2c569225a1691c5073770a4edece82	3761.0	1365.0	663.0	5.0	11.0	92.0	31.0	0.0
ed24e22524b4ce24223b14fb123f3ef7	1515.0	2295.0	502.0	1577.0	0.0	0.0	0.0	0.0
444fe179e13f7b265a8821e6b5cc9181	524.0	52.0	1839.0	3463.0	0.0	0.0	0.0	0.0
efc4fef14d07e57501c73cef81e50b96	0.0	0.0	0.0	0.0	1073.0	940.0	603.0	3238.0
fdcc8e18daad67be46ce165d9787f2fc	19.0	0.0	35.0	0.0	1113.0	803.0	785.0	3091.0
b5440befc27f4b00a32c394f6aaa69bb	0.0	0.0	0.0	0.0	1115.0	878.0	608.0	3219.0
5c4fd7f3f457dc4bd84923f9e173bc41	491.0	25.0	1788.0	3211.0	0.0	0.0	0.0	0.0
a117cee3088576d82695137dc4ad23df	13.0	0.0	39.0	0.0	1135.0	788.0	778.0	2755.0
04d963dd367044494ca6d0d9fd4a44cd	0.0	0.0	0.0	0.0	1694.0	645.0	852.0	2282.0
b7b64add78d5329f3bc102a4ae30dd75	0.0	0.0	0.0	0.0	338.0	1193.0	497.0	3302.0
1178074539439d7224faaddbc8878ea8	0.0	5264.0	0.0	0.0	0.0	0.0	0.0	0.0
0a2d96f4b171317b72bbf44e2f324c94	0.0	0.0	0.0	0.0	1669.0	624.0	809.0	2109.0
d18de4bbf7e9a08983b641b208ddeea2	290.0	1354.0	254.0	3169.0	0.0	0.0	0.0	0.0
effabf39716065efca981ce63a562372	1473.0	1929.0	1636.0	24.0	0.0	0.0	0.0	0.0
6d3543d28d52cc7f9bdca3840d43f478	294.0	1447.0	247.0	2974.0	0.0	0.0	0.0	0.0
4efae2caf8e84bf91e2481b49bed296b	0.0	0.0	0.0	0.0	1643.0	1042.0	1013.0	1227.0
a9b4b93778e6faeef07ff9bd5e8e4d8c	1429.0	1790.0	1669.0	36.0	0.0	0.0	0.0	0.0
0ba5cd282e467f58396b139dafd873d6	0.0	0.0	0.0	0.0	0.0	4724.0	60.0	0.0
cea6f1cab8a03f27263d06523b9a7008	0.0	0.0	0.0	0.0	0.0	4624.0	53.0	0.0
3578adcf590d702826605fae9c67d58a	0.0	0.0	0.0	0.0	1156.0	1634.0	468.0	1354.0
98f74f943b7f6c5cb8de234407d27e6f	0.0	0.0	0.0	0.0	540.0	2381.0	788.0	891.0
d280677277f140bf0e371f95d69636c4	0.0	0.0	0.0	0.0	1267.0	826.0	717.0	1633.0
cecbb55367dddcf12fe7bff1a2138365	0.0	0.0	0.0	0.0	1312.0	810.0	747.0	1514.0
d843c54047315503d83ef55afcb4c124	0.0	0.0	0.0	0.0	1400.0	894.0	994.0	1095.0
897fdf2345c9b3f30f2afa670db38bfb	857.0	1411.0	782.0	1332.0	0.0	0.0	0.0	0.0
afc54ed7cb7a24995cd98013f9a15c0c	413.0	1068.0	385.0	1681.0	208.0	174.0	289.0	153.0
dce6ac78b2c5b15e7ef09d479f4ae958	816.0	1539.0	754.0	1233.0	0.0	0.0	0.0	0.0
5d9131c606b450c0bb56c234f412192a	0.0	0.0	0.0	0.0	1118.0	1673.0	521.0	1001.0
d410aa1bce153cd7dfdbc7ed4215b4f9	0.0	0.0	0.0	0.0	562.0	2324.0	685.0	671.0
b6e6157c734ed8e8849a1301e69a24f8	158.0	870.0	546.0	2627.0	0.0	0.0	0.0	0.0
627c6708418d76bc9887b1921a8b17a7	0.0	4194.0	0.0	0.0	0.0	0.0	0.0	0.0
